group,target,alpha,beta_GALAXY_SOUNDS_BLACK_HOLES,beta_GALAXY_SOUNDS_PLANETARY_RINGS,beta_GALAXY_SOUNDS_SOLAR_WINDS,beta_GALAXY_SOUNDS_SOLAR_FLAMES,resid_sd,resid_acf1,half_life,adf_t,n,min_day_adf,max_day_hl,beta_GALAXY_SOUNDS_DARK_MATTER,beta_SLEEP_POD_LAMB_WOOL,beta_SLEEP_POD_POLYESTER,beta_SLEEP_POD_NYLON,beta_SLEEP_POD_COTTON,beta_SLEEP_POD_SUEDE,beta_MICROCHIP_OVAL,beta_MICROCHIP_SQUARE,beta_MICROCHIP_RECTANGLE,beta_MICROCHIP_TRIANGLE,beta_MICROCHIP_CIRCLE,beta_PEBBLES_S,beta_PEBBLES_M,beta_PEBBLES_L,beta_PEBBLES_XL,beta_PEBBLES_XS,beta_ROBOT_MOPPING,beta_ROBOT_DISHES,beta_ROBOT_LAUNDRY,beta_ROBOT_IRONING,beta_ROBOT_VACUUMING,beta_UV_VISOR_AMBER,beta_UV_VISOR_ORANGE,beta_UV_VISOR_RED,beta_UV_VISOR_MAGENTA,beta_UV_VISOR_YELLOW,beta_TRANSLATOR_ASTRO_BLACK,beta_TRANSLATOR_ECLIPSE_CHARCOAL,beta_TRANSLATOR_GRAPHITE_MIST,beta_TRANSLATOR_VOID_BLUE,beta_TRANSLATOR_SPACE_GRAY,beta_PANEL_2X2,beta_PANEL_1X4,beta_PANEL_2X4,beta_PANEL_4X4,beta_PANEL_1X2,beta_OXYGEN_SHAKE_EVENING_BREATH,beta_OXYGEN_SHAKE_MINT,beta_OXYGEN_SHAKE_CHOCOLATE,beta_OXYGEN_SHAKE_GARLIC,beta_OXYGEN_SHAKE_MORNING_BREATH,beta_SNACKPACK_VANILLA,beta_SNACKPACK_PISTACHIO,beta_SNACKPACK_STRAWBERRY,beta_SNACKPACK_RASPBERRY,beta_SNACKPACK_CHOCOLATE
GALAXY_SOUNDS,GALAXY_SOUNDS_DARK_MATTER,8960.332146709407,-0.006148537029021841,0.19016457167014725,-0.03640358107487128,-0.029807484466317914,297.03489407555173,0.9993809673072193,1119.3796807773815,-3.0082496826634015,30000,-4.641157389570054,357.51672731912436,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GALAXY_SOUNDS,GALAXY_SOUNDS_BLACK_HOLES,1636.6126240924584,,0.05068514132921258,0.8426343529884573,0.09018905077157008,846.6967571945423,0.9998534381130953,4729.035627732248,-0.5314172059026685,30000,-2.9182166430577974,422.05001224253033,-0.049958874287648794,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GALAXY_SOUNDS,GALAXY_SOUNDS_PLANETARY_RINGS,-1891.391775869551,0.033172825587778794,,0.12277116629903585,0.05897714968805629,684.981430602332,0.9997588184005073,2873.617189223791,-1.5483030090998322,30000,-3.2228928782383313,538.8548036368753,1.0112819695503057,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GALAXY_SOUNDS,GALAXY_SOUNDS_SOLAR_WINDS,11778.825887185883,0.24041308077443127,0.053519680370168146,,-0.34358517927320165,452.2591508392647,0.9996725739431257,2116.6113160271025,-2.0533489468154396,30000,-3.0341508664521197,453.7536695483226,-0.08439250770861191,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GALAXY_SOUNDS,GALAXY_SOUNDS_SOLAR_FLAMES,14350.29332353689,0.02252832693672156,0.02250904659478898,-0.30080885256248274,,423.1705719697622,0.9996261419517991,1853.6918129594485,-3.1300704276018307,30000,-3.3532436935573084,628.0063996625098,-0.06049803953960144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SLEEP_POD,SLEEP_POD_SUEDE,2761.3840078833027,,,,,447.0196527620332,0.9993255967473569,1027.4467408148391,-3.1340409184777007,30000,-3.388920432711192,1134.820716883371,,0.05768937883328884,0.9673055368615945,-0.12260038289547195,-0.1954721980080173,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SLEEP_POD,SLEEP_POD_LAMB_WOOL,7263.808599527795,,,,,348.68115581375207,0.9994342538153127,1224.8444764385176,-3.5547440630902285,30000,-2.600294048485778,1327.728722175555,,,-0.1651278455430961,0.44244177750750435,0.063258439251977,0.0350993911337323,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SLEEP_POD,SLEEP_POD_POLYESTER,84.64084048818248,,,,,327.3066485115772,0.9989413789789837,654.4175979423305,-4.054885592322779,30000,-4.023886749076974,752.0540148913783,,-0.1455033575710156,,0.06990506069066837,0.5837152771996909,0.5185851713630322,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SLEEP_POD,SLEEP_POD_NYLON,1250.0974258600988,,,,,398.90371946445833,0.9995676888328267,1603.0058780578436,-2.568670399637183,30000,-3.8527381957822002,425.48170955055343,,0.5790757071011995,0.10383293600547576,,0.17980289114813525,-0.09762808360186095,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SLEEP_POD,SLEEP_POD_COTTON,78.15098397650611,,,,,404.94185933066456,0.9992127905844783,880.1651823461021,-3.3796795137187643,30000,-3.6690662071733855,589.783254325811,,0.0853192175568631,0.8934633676782238,0.18528738173345063,,-0.16040470689047737,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
