group,mean_sum,std_sum,min_sum,max_sum,cv_sum
GALAXY_SOUNDS,53990.32275,1645.0379699786647,49288.5,56543.0,0.03046912643208203
SLEEP_POD,55103.509633333335,2855.1411161184833,49749.5,59974.5,0.05181414278540518
MICROCHIP,49408.06273333333,1501.929900321154,45843.0,52241.5,0.03039847784414084
PEBBLES,49999.93958333333,2.7984881414050706,49981.5,50016.5,5.596983045831322e-05
ROBOT,48809.635883333336,807.8279002823573,46581.0,50535.5,0.01655058239346957
UV_VISOR,51470.7497,742.3347012254859,49687.0,53850.0,0.014422457523005264
TRANSLATOR,49574.08195,816.7069299119338,47567.0,51683.5,0.0164744741160443
PANEL,49041.000316666665,850.3651624774019,47087.0,51601.5,0.01733988207798453
OXYGEN_SHAKE,50593.261333333336,1083.10179941922,48997.0,53865.5,0.021408024920220335
SNACKPACK,50220.9386,189.5794050217488,49706.0,50625.5,0.0037749076442340486
