group,product,trades,qty,avg_qty,top_qty,top_qty_share,best_touch_match_rate,inside_1_match_rate,book_mid_match_rate,wall_mid_match_rate,residual_fair_match_rate,mean_price_minus_mid,mean_price_minus_wall_mid,mean_abs_price_minus_residual_fair,inside_spread_rate,best_fill_quote_mode_h20,best_fill_side_h20,best_trade_fill_rate_h20,best_mean_edge_if_filled_h20,best_cross_liq_edge_if_filled_h20,full_group_events,same_qty_events,max_quote_match_rate,hidden_taker_score
GALAXY_SOUNDS,GALAXY_SOUNDS_BLACK_HOLES,733,1805,2.4624829467939975,2,0.26330150068212826,1.0,0.0,0.0,0.013642564802182811,0.0,-0.15143246930422918,-0.1582537517053206,2024.5066271007215,0.0,book_mid,sell,0.2237808951235805,-26.824701492537315,-34.11507462686567,733,733,1.0,5.691603001364256
SLEEP_POD,SLEEP_POD_LAMB_WOOL,733,1805,2.4624829467939975,2,0.26330150068212826,1.0,0.0,0.0,0.013642564802182811,0.0,-0.08321964529331514,-0.08117326057298772,404.4774057065077,0.0,wall_mid,buy,0.22010688042752172,-23.136570561456754,-27.85493171471927,733,733,1.0,5.691603001364256
SLEEP_POD,SLEEP_POD_POLYESTER,733,1805,2.4624829467939975,2,0.26330150068212826,1.0,0.0,0.0,0.017735334242837655,0.0,-0.11255115961800818,-0.10368349249658936,635.6981532588953,0.0,residual_fair,sell,0.22247828991315965,-26.917805134364208,-32.11409698243507,733,733,1.0,5.691603001364256
SLEEP_POD,SLEEP_POD_SUEDE,733,1805,2.4624829467939975,2,0.26330150068212826,1.0,0.0,0.0,0.019099590723055934,0.0,-0.10641200545702592,-0.11937244201909959,961.9188778966449,0.0,residual_fair,buy,0.21760187040748163,-23.002993092862624,-27.968534151957023,733,733,1.0,5.691603001364256
GALAXY_SOUNDS,GALAXY_SOUNDS_DARK_MATTER,733,1805,2.4624829467939975,2,0.26330150068212826,1.0,0.0,0.0,0.015006821282401092,0.001364256480218281,-0.14870395634379263,-0.1548431105047749,596.1759761548425,0.0,wall_mid,sell,0.21710086840347362,-24.89376923076923,-31.43646153846154,733,733,1.0,5.691603001364256
SNACKPACK,SNACKPACK_PISTACHIO,733,1805,2.4624829467939975,2,0.26330150068212826,1.0,0.0,0.0,0.01227830832196453,0.0068212824010914054,-0.15893587994542974,-0.14938608458390176,116.47440049163762,0.0,residual_fair,buy,0.24014696058784235,-14.50778859527121,-22.465785813630042,733,733,1.0,5.691603001364256
SNACKPACK,SNACKPACK_RASPBERRY,733,1805,2.4624829467939975,2,0.26330150068212826,1.0,0.0,0.0,0.017735334242837655,0.002728512960436562,-0.16166439290586632,-0.1582537517053206,170.36058930518888,0.0,residual_fair,buy,0.22655310621242486,-16.932183399675658,-25.35736399823087,733,733,1.0,5.691603001364256
SNACKPACK,SNACKPACK_STRAWBERRY,733,1805,2.4624829467939975,2,0.26330150068212826,1.0,0.0,0.0,0.01637107776261937,0.002728512960436562,-0.19236016371077763,-0.1984993178717599,299.04046209438417,0.0,residual_fair,buy,0.22705410821643288,-19.098337746396,-27.997646366578405,733,733,1.0,5.691603001364256
SNACKPACK,SNACKPACK_VANILLA,733,1805,2.4624829467939975,2,0.26330150068212826,1.0,0.0,0.0,0.013642564802182811,0.005457025920873124,-0.1582537517053206,-0.16030013642564803,78.08826086086303,0.0,residual_fair,sell,0.2207748830995324,-15.407942511346445,-23.870801815431165,733,733,1.0,5.691603001364256
TRANSLATOR,TRANSLATOR_ASTRO_BLACK,733,1805,2.4624829467939975,2,0.26330150068212826,1.0,0.0,0.0,0.01637107776261937,0.0,-0.0927694406548431,-0.09481582537517053,793.5746478149028,0.0,book_mid,buy,0.21606546426185705,-20.237362807234504,-24.410109754212396,733,733,1.0,5.691603001364256
