group,a,b,corr_mid_day_demeaned,corr_ret,min_abs_daily_mid_corr,same_sign,sign_flipped
GALAXY_SOUNDS,GALAXY_SOUNDS_DARK_MATTER,GALAXY_SOUNDS_BLACK_HOLES,0.14853515790095967,4.751278903384583e-05,0.400189444225938,True,False
GALAXY_SOUNDS,GALAXY_SOUNDS_DARK_MATTER,GALAXY_SOUNDS_PLANETARY_RINGS,0.1981132422390418,0.00646958769588045,0.013601208662307266,True,False
GALAXY_SOUNDS,GALAXY_SOUNDS_DARK_MATTER,GALAXY_SOUNDS_SOLAR_WINDS,0.03935682009805926,-0.0010725486852635063,0.2277352474202911,True,False
GALAXY_SOUNDS,GALAXY_SOUNDS_DARK_MATTER,GALAXY_SOUNDS_SOLAR_FLAMES,-0.14550186774854465,0.004278923656618888,0.5100164253161266,False,True
GALAXY_SOUNDS,GALAXY_SOUNDS_BLACK_HOLES,GALAXY_SOUNDS_PLANETARY_RINGS,-0.0267920830743286,0.0015812744496184557,0.07963895259714078,False,True
GALAXY_SOUNDS,GALAXY_SOUNDS_BLACK_HOLES,GALAXY_SOUNDS_SOLAR_WINDS,-0.32083030616490865,0.010315192559455389,0.13149035308988924,False,True
GALAXY_SOUNDS,GALAXY_SOUNDS_BLACK_HOLES,GALAXY_SOUNDS_SOLAR_FLAMES,0.17153480935155155,0.002143234478572085,0.04612370222068056,True,False
GALAXY_SOUNDS,GALAXY_SOUNDS_PLANETARY_RINGS,GALAXY_SOUNDS_SOLAR_WINDS,-0.031488752826526994,1.4830667976929988e-05,0.31917990634638826,False,True
GALAXY_SOUNDS,GALAXY_SOUNDS_PLANETARY_RINGS,GALAXY_SOUNDS_SOLAR_FLAMES,-0.3276994147667564,0.0136755004370704,0.258237609400649,False,True
GALAXY_SOUNDS,GALAXY_SOUNDS_SOLAR_WINDS,GALAXY_SOUNDS_SOLAR_FLAMES,-0.2684290922508104,0.004200123306636561,0.13686120255292117,False,True
SLEEP_POD,SLEEP_POD_SUEDE,SLEEP_POD_LAMB_WOOL,0.04771742861402413,0.006907839967195947,0.01388894669678544,True,False
SLEEP_POD,SLEEP_POD_SUEDE,SLEEP_POD_POLYESTER,0.4855490624602971,0.0026087983453496073,0.25059054496699557,True,False
SLEEP_POD,SLEEP_POD_SUEDE,SLEEP_POD_NYLON,-0.051727742149903305,0.006422992471245581,0.4927326280104139,False,True
SLEEP_POD,SLEEP_POD_SUEDE,SLEEP_POD_COTTON,0.41350241656137,-0.0013324885215860777,0.30531802478626685,True,False
SLEEP_POD,SLEEP_POD_LAMB_WOOL,SLEEP_POD_POLYESTER,-0.16470634156598368,0.009006341509153413,0.3366603766410271,False,True
SLEEP_POD,SLEEP_POD_LAMB_WOOL,SLEEP_POD_NYLON,0.39286853384178616,0.0031563763859349795,0.23495629505860688,True,False
SLEEP_POD,SLEEP_POD_LAMB_WOOL,SLEEP_POD_COTTON,-0.12131617689318165,-0.0036242906813812436,0.3268109691367278,False,True
