product,group,day,ticks,spread_median,spread_p90,top_depth_median,top3_depth_median,top_depth_share_median,imbalance_abs_mean,imbalance_corr_h1,imbalance_extreme_n,imbalance_extreme_mid_edge_h1,imbalance_extreme_active_edge_h1,imbalance_extreme_passive_edge_h1,imbalance_extreme_passive_fill_next5,book_gap_mean_median,mid_ret_abs_mean,mid_ret_sd,move_tick_pct,fwd_abs_move_h5_to_halfspread,passive_buy_fill_next5_pct,passive_sell_fill_next5_pct,trade_count,trade_qty,at_bid_count,at_ask_count,inside_count,outside_count,touch_qty_to_depth_median,trade_markout_1_mean,trade_markout_5_mean,trade_markout_20_mean,trade_ticks_pct,at_touch_share,inside_share,outside_share
GALAXY_SOUNDS_BLACK_HOLES,GALAXY_SOUNDS,2,10000,14.0,15.0,36.0,100.0,0.37037037037037035,0.019829642259917853,0.07130612759781256,311,4.297427652733119,0.8118971061093248,7.782958199356913,0.04180064308681672,1.5,8.416991699169918,10.597998056118334,0.9739,2.7706052797461003,0.0441,0.0383,229.0,562.0,119.0,110.0,0.0,0.0,0.13636363636363635,-6.133187772925764,-5.388646288209607,-5.574235807860262,0.0229,1.0,0.0,0.0
GALAXY_SOUNDS_BLACK_HOLES,GALAXY_SOUNDS,3,10000,14.0,15.0,36.0,100.0,0.37037037037037035,0.021235627064033133,0.046203761982471114,336,2.888392857142857,-0.6755952380952381,6.4523809523809526,0.044642857142857144,1.5,8.837433743374337,11.125827655128525,0.9746,2.8222316469590103,0.0384,0.0492,255.0,649.0,125.0,130.0,0.0,0.0,0.14285714285714285,-6.898039215686275,-8.864173228346457,-10.580708661417322,0.0255,1.0,0.0,0.0
GALAXY_SOUNDS_BLACK_HOLES,GALAXY_SOUNDS,4,10000,16.0,17.0,36.0,98.0,0.3695652173913043,0.02240749126268222,0.059844044251991496,350,4.21,0.18857142857142858,8.231428571428571,0.05142857142857143,2.0,10.074557455745575,12.620265063446952,0.9794,2.846745126765063,0.0451,0.0458,249.0,594.0,131.0,118.0,0.0,0.0,0.125,-9.20281124497992,-11.004016064257028,-13.062753036437247,0.0249,1.0,0.0,0.0
GALAXY_SOUNDS_DARK_MATTER,GALAXY_SOUNDS,2,10000,13.0,14.0,36.0,100.0,0.37037037037037035,0.019829642259917853,0.04414988931016464,311,2.6736334405144695,-0.6189710610932476,5.966237942122186,0.028938906752411574,1.5,8.017501750175018,10.067367148979722,0.9756,2.8002447285914016,0.0405,0.0414,229.0,562.0,119.0,110.0,0.0,0.0,0.13636363636363635,-6.687772925764192,-6.157205240174672,-12.596069868995633,0.0229,1.0,0.0,0.0
GALAXY_SOUNDS_DARK_MATTER,GALAXY_SOUNDS,3,10000,13.0,14.0,36.0,100.0,0.37037037037037035,0.021235627064033133,0.058274401864504,336,3.4330357142857144,0.07738095238095238,6.788690476190476,0.05654761904761905,1.5,8.380388038803881,10.482850936473515,0.9739,2.8563223644789426,0.0496,0.0434,255.0,649.0,125.0,130.0,0.0,0.0,0.14285714285714285,-6.584313725490196,-8.029527559055119,-8.551181102362206,0.0255,1.0,0.0,0.0
GALAXY_SOUNDS_DARK_MATTER,GALAXY_SOUNDS,4,10000,13.0,14.0,36.0,98.0,0.3695652173913043,0.02240749126268222,0.054283719713443035,350,2.8242857142857143,-0.4714285714285714,6.12,0.05714285714285714,1.5,8.127462746274627,10.183090118839372,0.9722,2.84218412319713,0.0468,0.0424,249.0,594.0,131.0,118.0,0.0,0.0,0.125,-6.178714859437751,-4.949799196787149,-2.57085020242915,0.0249,1.0,0.0,0.0
GALAXY_SOUNDS_PLANETARY_RINGS,GALAXY_SOUNDS,2,10000,13.0,14.0,36.0,100.0,0.37037037037037035,0.019829642259917853,0.05746381808765313,311,3.287781350482315,0.017684887459807074,6.557877813504823,0.04180064308681672,1.5,8.128112811281127,10.157218233664778,0.9789,2.8940655309339647,0.0384,0.0427,229.0,562.0,119.0,110.0,0.0,0.0,0.13636363636363635,-6.814410480349345,-6.4803493449781655,-7.021834061135372,0.0229,1.0,0.0,0.0
GALAXY_SOUNDS_PLANETARY_RINGS,GALAXY_SOUNDS,3,10000,15.0,16.0,36.0,100.0,0.37037037037037035,0.021235627064033133,0.0563082502054419,336,3.831845238095238,0.11755952380952381,7.5461309523809526,0.05357142857142857,2.0,9.233523352335233,11.63506232342945,0.9746,2.8796603261948435,0.0478,0.0413,255.0,649.0,125.0,130.0,0.0,0.0,0.14285714285714285,-6.488235294117647,-7.7263779527559056,-5.155511811023622,0.0255,1.0,0.0,0.0
GALAXY_SOUNDS_PLANETARY_RINGS,GALAXY_SOUNDS,4,10000,14.0,15.0,36.0,98.0,0.3695652173913043,0.02240749126268222,0.06304104901926133,350,3.7685714285714287,0.3171428571428571,7.22,0.04857142857142857,1.5,8.611061106110611,10.793480617120927,0.9761,2.8755751502124687,0.0475,0.0401,249.0,594.0,131.0,118.0,0.0,0.0,0.125,-7.204819277108434,-6.905622489959839,-10.165991902834008,0.0249,1.0,0.0,0.0
GALAXY_SOUNDS_SOLAR_FLAMES,GALAXY_SOUNDS,2,10000,14.0,15.0,36.0,100.0,0.37037037037037035,0.019829642259917853,0.055751171166633,311,3.5964630225080385,-0.006430868167202572,7.19935691318328,0.04501607717041801,1.5,8.866736673667367,11.116588289308346,0.9723,2.820840918017006,0.039,0.0425,229.0,562.0,119.0,110.0,0.0,0.0,0.13636363636363635,-7.004366812227074,-4.460698689956332,-4.989082969432315,0.0229,1.0,0.0,0.0
