group,product,day,quote_mode,side,horizon,quote_ticks,trade_fill_count,book_or_trade_fill_count,trade_fill_rate,book_or_trade_fill_rate,mean_quote_offset_mid,mean_spread_capture_if_filled,mean_adverse_selection_if_filled,mean_edge_if_filled,mean_cross_liq_edge_if_filled,ev_per_quote,cross_liq_ev_per_quote
GALAXY_SOUNDS,GALAXY_SOUNDS_BLACK_HOLES,2,best_touch,buy,1,9999,76,1113,0.007600760076007601,0.1113111311131113,-6.801480148014801,6.822368421052632,-10.953947368421053,-4.131578947368421,-10.986842105263158,-0.0314031403140314,-0.08350835083508351
GALAXY_SOUNDS,GALAXY_SOUNDS_BLACK_HOLES,2,best_touch,buy,5,9995,441,4238,0.04412206103051526,0.4240120060030015,-6.80120060030015,6.790249433106576,-17.116780045351472,-10.326530612244898,-17.151927437641724,-0.45562781390695345,-0.7567783891945973
GALAXY_SOUNDS,GALAXY_SOUNDS_BLACK_HOLES,2,best_touch,buy,20,9980,1679,6666,0.16823647294589178,0.667935871743487,-6.800400801603207,6.79064919594997,-25.515187611673614,-18.724538415723647,-25.56223942823109,-3.1501503006012026,-4.300501002004008
GALAXY_SOUNDS,GALAXY_SOUNDS_BLACK_HOLES,2,best_touch,buy,100,9900,4969,8197,0.5019191919191919,0.8279797979797979,-6.796767676767677,6.8245119742402895,-31.69983900181123,-24.87532702757094,-31.6842423022741,-12.48540404040404,-15.902929292929294
GALAXY_SOUNDS,GALAXY_SOUNDS_BLACK_HOLES,2,best_touch,buy,500,9500,6898,8501,0.7261052631578947,0.8948421052631579,-6.7723157894736845,6.802406494636126,36.13308205276892,42.93548854740504,36.128298057407946,31.175684210526317,26.23294736842105
GALAXY_SOUNDS,GALAXY_SOUNDS_BLACK_HOLES,2,best_touch,sell,1,9999,69,1175,0.006900690069006901,0.11751175117511752,6.801480148014801,6.688405797101449,-7.920289855072464,-1.2318840579710144,-8.028985507246377,-0.008500850085008501,-0.05540554055405541
GALAXY_SOUNDS,GALAXY_SOUNDS_BLACK_HOLES,2,best_touch,sell,5,9995,383,4442,0.038319159579789895,0.4444222111055528,6.80120060030015,6.758485639686684,-14.629242819843341,-7.870757180156658,-14.618798955613578,-0.3016008004002001,-0.5601800900450226
GALAXY_SOUNDS,GALAXY_SOUNDS_BLACK_HOLES,2,best_touch,sell,20,9980,1706,7195,0.17094188376753508,0.7209418837675351,6.800400801603207,6.780480656506448,-33.073856975381005,-26.29337631887456,-33.109026963657676,-4.4946392785571145,-5.659719438877755
GALAXY_SOUNDS,GALAXY_SOUNDS_BLACK_HOLES,2,best_touch,sell,100,9900,5812,8785,0.5870707070707071,0.8873737373737374,6.796767676767677,6.798090158293187,-65.66655196145905,-58.868461803165864,-65.7095664143152,-34.55994949494949,-38.57616161616161
GALAXY_SOUNDS,GALAXY_SOUNDS_BLACK_HOLES,2,best_touch,sell,500,9500,7933,9072,0.8350526315789474,0.9549473684210527,6.7723157894736845,6.765662422790873,-161.0753182906845,-154.3096558678936,-161.17257027606203,-128.8566842105263,-134.58757894736843
GALAXY_SOUNDS,GALAXY_SOUNDS_BLACK_HOLES,2,one_tick_inside,buy,1,9999,83,1307,0.0083008300830083,0.13071307130713072,-5.801480148014801,5.825301204819277,-10.090361445783133,-4.265060240963855,-11.132530120481928,-0.0354035403540354,-0.0924092409240924
GALAXY_SOUNDS,GALAXY_SOUNDS_BLACK_HOLES,2,one_tick_inside,buy,5,9995,460,4485,0.04602301150575288,0.4487243621810905,-5.80120060030015,5.7956521739130435,-16.357608695652175,-10.56195652173913,-17.369565217391305,-0.48609304652326163,-0.799399699849925
GALAXY_SOUNDS,GALAXY_SOUNDS_BLACK_HOLES,2,one_tick_inside,buy,20,9980,1718,6811,0.1721442885771543,0.6824649298597194,-5.800400801603207,5.7927823050058205,-24.609429569266588,-18.81664726426077,-25.653084982537834,-3.2391783567134267,-4.416032064128257
GALAXY_SOUNDS,GALAXY_SOUNDS_BLACK_HOLES,2,one_tick_inside,buy,100,9900,5045,8282,0.5095959595959596,0.8365656565656565,-5.796767676767677,5.825569871159564,-30.70049554013875,-24.874925668979188,-31.68344895936571,-12.676161616161616,-16.145757575757575
GALAXY_SOUNDS,GALAXY_SOUNDS_BLACK_HOLES,2,one_tick_inside,buy,500,9500,6942,8545,0.7307368421052631,0.8994736842105263,-5.7723157894736845,5.802722558340536,37.45167098818784,43.25439354652838,36.447997695188704,31.60757894736842,26.633894736842105
GALAXY_SOUNDS,GALAXY_SOUNDS_BLACK_HOLES,2,one_tick_inside,sell,1,9999,72,1348,0.0072007200720072,0.1348134813481348,5.801480148014801,5.6875,-7.930555555555555,-2.2430555555555554,-9.041666666666666,-0.016151615161516152,-0.06510651065106511
GALAXY_SOUNDS,GALAXY_SOUNDS_BLACK_HOLES,2,one_tick_inside,sell,5,9995,405,4675,0.04052026013006503,0.46773386693346675,5.80120060030015,5.75679012345679,-14.260493827160493,-8.503703703703703,-15.25925925925926,-0.34457228614307156,-0.6183091545772886
GALAXY_SOUNDS,GALAXY_SOUNDS_BLACK_HOLES,2,one_tick_inside,sell,20,9980,1739,7325,0.17424849699398798,0.7339679358717435,5.800400801603207,5.780621046578493,-32.67912593444508,-26.89850488786659,-33.716503737780336,-4.687024048096192,-5.875050100200401
GALAXY_SOUNDS,GALAXY_SOUNDS_BLACK_HOLES,2,one_tick_inside,sell,100,9900,5881,8844,0.594040404040404,0.8933333333333333,5.796767676767677,5.798588675395341,-64.61571161367114,-58.8171229382758,-65.65907158646489,-34.93974747474748,-39.004141414141415
GALAXY_SOUNDS,GALAXY_SOUNDS_BLACK_HOLES,2,one_tick_inside,sell,500,9500,7964,9099,0.8383157894736842,0.9577894736842105,5.7723157894736845,5.766135107985937,-159.78208186840783,-154.0159467604219,-160.87857860371673,-129.114,-134.86705263157896
GALAXY_SOUNDS,GALAXY_SOUNDS_BLACK_HOLES,2,book_mid,buy,1,9999,119,2624,0.011901190119011902,0.26242624262426245,-0.2627262726272627,0.27310924369747897,-7.659663865546219,-7.38655462184874,-14.243697478991596,-0.08790879087908791,-0.1695169516951695
