product,group,day,ou_mu,ou_phi,ou_half_life,ou_sigma,median_spread,drift50,vol50,last_ou_z,hit_proxy_h50_vs_halfspread,spread_to_sigma
GALAXY_SOUNDS_BLACK_HOLES,GALAXY,2,11582.387630078016,0.9998396131629271,4321.374533479366,10.597089971798157,14.0,7.88321608040201,73.93067328226076,0.19506634597289008,0.44744795488330247,1.3211174044890464
GALAXY_SOUNDS_BLACK_HOLES,GALAXY,3,11587.216253470571,0.999856380891197,4825.941412357187,11.125174484579032,14.0,3.620603015075377,84.28326924730233,0.7061919205224536,0.4499290028707214,1.2584072293110953
GALAXY_SOUNDS_BLACK_HOLES,GALAXY,4,13283.248268523814,0.9998032098313113,3521.91870491236,12.619203625274306,16.0,7.0303517587939695,88.11608710907421,0.23267809016262006,0.44955295497817727,1.2679088533516152
GALAXY_SOUNDS_DARK_MATTER,GALAXY,2,10167.878113239813,0.9992552138437196,930.3194204832904,10.065138174915008,13.0,2.1647738693467335,64.65961327030536,0.8114767845300509,0.44861604388884463,1.2915868389276421
GALAXY_SOUNDS_DARK_MATTER,GALAXY,3,10527.660240762623,0.9995626220066917,1584.431764854798,10.481391662772442,13.0,2.8552261306532665,77.41459953672354,0.825337259154657,0.45064602563723555,1.2402933138099208
GALAXY_SOUNDS_DARK_MATTER,GALAXY,4,10063.407155346074,0.9992605221593117,937.0001741055073,10.179756130157942,13.0,-2.7696984924623114,73.75201113966503,0.6453412231243707,0.4491914403023559,1.2770443449239344
GALAXY_SOUNDS_PLANETARY_RINGS,GALAXY,2,8849.813829557543,1.000107376328028,,10.156579318065782,13.0,6.428241206030151,76.00259104563713,236.21990190523496,0.44907612873823594,1.2799584970105624
GALAXY_SOUNDS_PLANETARY_RINGS,GALAXY,3,11631.345526868927,0.9990155727859525,703.7655381678641,11.631425041980975,15.0,0.18668341708542713,81.08240828454335,0.7254399954266652,0.44869426125090245,1.289609823780948
GALAXY_SOUNDS_PLANETARY_RINGS,GALAXY,4,9838.884281144401,0.9997877805575832,3265.834743562249,10.792610631133337,14.0,-9.071859296482412,81.65049127646904,0.30867927879454415,0.44839461894208976,1.29718383041793
GALAXY_SOUNDS_SOLAR_FLAMES,GALAXY,2,11375.478554670603,0.9995191758028992,1441.2347182456133,11.113465021050025,14.0,6.37140703517588,77.64014931372452,0.07105486949709858,0.44987652497187763,1.2597331230379412
GALAXY_SOUNDS_SOLAR_FLAMES,GALAXY,3,10952.636531018921,0.9997743929179945,3072.0178728537285,11.225602405131688,14.0,-3.262462311557789,80.7442835723707,0.49444316803186794,0.4503746263220803,1.2471491055440258
