event_type,product,group,feature,direction,threshold,quantile,side,horizon,count_total,count_min_day,mean_all,median_all,win_all,mean_day2,mean_day3,mean_day4,win_day2,win_day3,win_day4,worst_day_mean,rank_score
path_motif,MICROCHIP_OVAL,MICROCHIP,motif3,01-1,,,short,1000,148,39,196.5810810810811,187.5,0.75,196.88372093023256,200.66666666666666,193.96969696969697,0.7209302325581395,0.6153846153846154,0.8484848484848485,193.96969696969697,727.9604614626564
trailing_extrema,PEBBLES_XS,PEBBLES,at_trail_max_200,true,1.0,,short,1000,780,230,221.4025641025641,270.5,0.7128205128205128,372.52608695652174,194.5358361774744,116.78599221789884,0.8869565217391304,0.6757679180887372,0.5992217898832685,116.78599221789884,554.4759025056985
trailing_extrema,PEBBLES_XL,PEBBLES,at_trail_min_200,true,1.0,,long,200,925,233,146.64648648648648,102.0,0.6345945945945946,137.21383647798743,127.8288770053476,189.72532188841203,0.5817610062893082,0.6631016042780749,0.6609442060085837,127.8288770053476,554.1172007100713
trailing_extrema,MICROCHIP_OVAL,MICROCHIP,at_trail_max_200,true,1.0,,short,1000,926,273,247.6328293736501,267.0,0.7451403887688985,108.71216617210682,339.13607594936707,313.20512820512823,0.5637982195845698,0.7943037974683544,0.9120879120879121,108.71216617210682,553.4280401694815
path_motif,PEBBLES_XS,PEBBLES,motif5,1-111-1,,,short,1000,761,251,161.34691195795006,195.0,0.7148488830486203,178.27165354330708,189.97265625,115.02390438247012,0.7440944881889764,0.70703125,0.6932270916334662,115.02390438247012,545.6387782746579
trailing_extrema,PEBBLES_XS,PEBBLES,at_trail_max_100,true,1.0,,short,1000,1330,407,194.28496240601504,235.0,0.7195488721804512,268.5601965601966,212.94398340248964,105.3424036281179,0.8378378378378378,0.7157676348547718,0.6145124716553289,105.3424036281179,545.2742469081729
trailing_extrema,PEBBLES_XS,PEBBLES,at_trail_max_50,true,1.0,,short,1000,1954,610,178.08444216990787,212.5,0.7047082906857728,231.21803278688526,207.66816816816817,101.21976401179941,0.7950819672131147,0.7042042042042042,0.6238938053097345,101.21976401179941,540.552199946333
path_motif,PEBBLES_XS,PEBBLES,motif5,11-111,,,short,1000,728,236,157.04532967032966,189.5,0.679945054945055,179.44583333333333,173.43650793650792,116.76271186440678,0.6916666666666667,0.6706349206349206,0.6779661016949152,116.76271186440678,523.3276673543673
path_motif,MICROCHIP_OVAL,MICROCHIP,motif3,101,,,short,1000,147,43,177.44897959183675,182.0,0.7142857142857143,160.94,133.72093023255815,227.55555555555554,0.68,0.6046511627906976,0.8333333333333334,133.72093023255815,477.3084812980674
path_motif,PEBBLES_XS,PEBBLES,motif5,1-1111,,,short,1000,771,253,155.23216601815824,174.0,0.6809338521400778,201.67588932806325,159.97286821705427,105.33461538461539,0.7391304347826086,0.6550387596899225,0.65,105.33461538461539,476.90443695775963
trailing_extrema,PEBBLES_XS,PEBBLES,at_trail_max_20,true,1.0,,short,1000,3376,1111,161.41054502369667,190.0,0.6904620853080569,215.3793721973094,187.06930693069307,84.29565217391304,0.7668161434977578,0.6921692169216922,0.6147826086956522,84.29565217391304,472.8840262599136
path_motif,PEBBLES_XS,PEBBLES,motif5,111-11,,,short,1000,741,228,161.81646423751687,187.0,0.689608636977058,205.14760147601476,168.4504132231405,103.2719298245614,0.7416974169741697,0.6652892561983471,0.6535087719298246,103.2719298245614,470.69944450295577
path_motif,PEBBLES_XS,PEBBLES,motif5,-11-111,,,short,1000,805,265,162.17142857142858,191.0,0.715527950310559,205.40449438202248,184.63396226415094,98.08424908424908,0.797752808988764,0.690566037735849,0.6593406593406593,98.08424908424908,469.6639664682984
