event_type,product,base,field,residue,side,horizon,count_total,count_min_day,mean_all,median_all,win_all,mean_day2,mean_day3,mean_day4,win_day2,win_day3,win_day4,stable_positive,stable_negative,same_sign,worst_day_mean,score,robust,positive_edge,abs_worst,rank_score
visible_price_suffix,GALAXY_SOUNDS_BLACK_HOLES,500,bid_price_2,286,long,1000,82,26,274.2682926829268,,0.8048780487804879,274.53846153846155,246.92857142857142,301.35714285714283,0.8846153846153846,0.7857142857142857,0.75,True,False,True,246.92857142857142,1091.1379986537743,True,True,246.92857142857142,878.2330233066964
visible_price_suffix,PEBBLES_XS,100,bid_price_2,87,short,1000,253,75,213.0,,0.766798418972332,254.0581395348837,195.40217391304347,187.50666666666666,0.8372093023255814,0.6847826086956522,0.7866666666666666,True,False,True,187.50666666666666,1038.2870906277558,True,True,187.50666666666666,796.1568995327456
visible_price_suffix,PEBBLES_XS,100,bid_price_2,73,short,1000,252,77,211.42857142857142,,0.7579365079365079,235.3763440860215,208.8961038961039,186.64634146341464,0.8172043010752689,0.7142857142857143,0.7317073170731707,True,False,True,186.64634146341464,1032.7869039631062,True,True,186.64634146341464,782.7868994323543
visible_price_suffix,PEBBLES_XS,100,bid_price_1,74,short,1000,261,80,208.21072796934865,,0.7586206896551724,230.53932584269663,216.4125,179.47826086956522,0.8202247191011236,0.725,0.7282608695652174,True,False,True,179.47826086956522,999.3967874576438,True,True,179.47826086956522,758.1630801402814
visible_price_suffix,MICROCHIP_OVAL,100,bid_price_1,18,short,1000,253,74,190.24505928853756,,0.6956521739130435,189.10752688172042,184.67441860465115,198.14864864864865,0.6666666666666666,0.627906976744186,0.8108108108108109,True,False,True,184.67441860465115,1022.6039863812604,True,True,184.67441860465115,711.3766861782681
visible_price_suffix,OXYGEN_SHAKE_EVENING_BREATH,500,bid_price_2,482,short,1000,208,40,172.23557692307693,,0.8173076923076923,174.475,193.55102040816325,162.7058823529412,0.65,0.9795918367346939,0.8067226890756303,True,False,True,162.7058823529412,869.2292082902746,True,True,162.7058823529412,710.4277183141668
visible_price_suffix,OXYGEN_SHAKE_EVENING_BREATH,10,ask_price_2,8,short,1000,11308,1872,154.96038203042093,,0.7471701450300672,237.4607764390897,154.1741452991453,101.16856691808455,0.7898259705488622,0.9075854700854701,0.666549728117874,True,False,True,101.16856691808455,944.2420636791024,True,True,101.16856691808455,705.5094796626049
visible_price_suffix,OXYGEN_SHAKE_EVENING_BREATH,10,bid_price_2,2,short,1000,11292,1868,154.27736450584484,,0.7469890187743535,236.13501882732652,153.80620985010705,101.09358569926393,0.7894029047875202,0.9068522483940042,0.6670171749036102,True,False,True,101.09358569926393,943.3991086914759,True,True,101.09358569926393,704.7087745140453
visible_price_suffix,OXYGEN_SHAKE_EVENING_BREATH,500,ask_price_2,498,short,1000,204,41,169.8578431372549,,0.803921568627451,169.82926829268294,190.80851063829786,161.3793103448276,0.6341463414634146,0.9787234042553191,0.7931034482758621,True,False,True,161.3793103448276,859.0236793919914,True,True,161.3793103448276,690.5876638249343
visible_price_suffix,OXYGEN_SHAKE_EVENING_BREATH,500,bid_price_2,492,short,1000,451,76,166.37472283813747,,0.7095343680709535,158.6360544217687,166.60526315789474,194.2469135802469,0.6462585034013606,0.9078947368421053,0.7530864197530864,True,False,True,158.6360544217687,969.8504189972634,True,True,158.6360544217687,688.1422041665728
