scan,key,side,horizon,count,edge,win
suffix,40,long,100,149,62.395973154362416,0.8791946308724832
suffix,36,long,100,116,40.025862068965516,0.8017241379310345
suffix,43,long,100,152,39.88157894736842,0.8552631578947368
suffix,39,long,100,143,39.0,0.8391608391608392
suffix,42,long,100,142,38.774647887323944,0.823943661971831
suffix,38,long,100,143,37.18881118881119,0.7762237762237763
suffix,41,long,100,119,36.72268907563025,0.8403361344537815
suffix,44,long,100,160,34.04375,0.75625
suffix,37,long,100,126,33.27777777777778,0.7777777777777778
suffix,35,long,100,123,30.54471544715447,0.8292682926829268
suffix,34,long,100,85,30.023529411764706,0.7764705882352941
suffix,33,long,100,82,26.146341463414632,0.7195121951219512
suffix,45,long,100,158,23.20253164556962,0.740506329113924
lead_lag,leader_ret50_gt_8,long,100,2174,22.86890524379025,0.8058877644894205
suffix,47,long,100,177,21.536723163841806,0.672316384180791
suffix,32,long,100,93,21.526881720430108,0.6666666666666666
suffix,46,long,100,160,21.175,0.73125
suffix,30,long,100,85,15.870588235294118,0.6352941176470588
suffix,48,long,100,198,14.080808080808081,0.5959595959595959
suffix,31,long,100,83,11.614457831325302,0.6265060240963856
suffix,49,long,100,233,9.48068669527897,0.6266094420600858
time_bucket,66,short,100,60,7.666666666666667,0.8333333333333334
time_bucket,50,short,100,60,7.45,0.8166666666666667
time_bucket,60,short,100,60,7.316666666666666,0.8333333333333334
time_bucket,63,short,100,60,7.266666666666667,0.8166666666666667
time_bucket,75,short,100,60,7.233333333333333,0.8166666666666667
time_bucket,65,short,100,60,7.133333333333334,0.8666666666666667
time_bucket,70,short,100,60,7.116666666666666,0.8166666666666667
time_bucket,76,short,100,60,7.016666666666667,0.8166666666666667
time_bucket,48,short,100,60,6.9,0.8333333333333334
time_bucket,73,short,100,60,6.883333333333334,0.8
time_bucket,61,short,100,60,6.85,0.8
time_bucket,54,short,100,60,6.816666666666666,0.8
time_bucket,46,short,100,60,6.7,0.85
time_bucket,59,short,100,60,6.7,0.75
time_bucket,41,short,100,60,6.683333333333334,0.7666666666666667
time_bucket,56,short,100,60,6.55,0.7333333333333333
time_bucket,57,short,100,60,6.533333333333333,0.8166666666666667
time_bucket,64,short,100,60,6.45,0.7833333333333333
time_bucket,47,short,100,60,6.4,0.8
time_bucket,80,short,100,60,6.333333333333333,0.8333333333333334
time_bucket,40,short,100,60,6.333333333333333,0.7833333333333333
time_bucket,24,short,100,60,6.3,0.7666666666666667
time_bucket,53,short,100,60,6.283333333333333,0.8166666666666667
time_bucket,49,short,100,60,6.25,0.8166666666666667
time_bucket,72,short,100,60,6.216666666666667,0.7833333333333333
suffix,51,long,100,259,6.204633204633205,0.5637065637065637
time_bucket,71,short,100,60,6.166666666666667,0.7833333333333333
time_bucket,39,short,100,60,6.05,0.7333333333333333
time_bucket,62,short,100,60,6.0,0.8
time_bucket,74,short,100,60,5.983333333333333,0.8
time_bucket,51,short,100,60,5.983333333333333,0.7833333333333333
time_bucket,67,short,100,60,5.95,0.75
suffix,29,long,100,87,5.908045977011494,0.5632183908045977
time_bucket,43,short,100,60,5.816666666666666,0.8166666666666667
time_bucket,35,short,100,60,5.8,0.7666666666666667
time_bucket,52,short,100,60,5.766666666666667,0.85
time_bucket,81,short,100,60,5.766666666666667,0.7833333333333333
time_bucket,78,short,100,60,5.733333333333333,0.7333333333333333
time_bucket,68,short,100,60,5.716666666666667,0.7166666666666667
time_bucket,28,short,100,60,5.7,0.75
time_bucket,58,short,100,60,5.666666666666667,0.75
time_bucket,69,short,100,60,5.583333333333333,0.7
time_bucket,38,short,100,60,5.566666666666666,0.7333333333333333
time_bucket,45,short,100,60,5.5,0.75
time_bucket,32,short,100,60,5.45,0.7666666666666667
time_bucket,14,short,100,60,5.366666666666666,0.7833333333333333
time_bucket,26,short,100,60,5.35,0.7333333333333333
time_bucket,23,short,100,60,5.3,0.6666666666666666
suffix,50,long,100,264,5.299242424242424,0.49242424242424243
time_bucket,44,short,100,60,5.283333333333333,0.7333333333333333
time_bucket,34,short,100,60,5.25,0.7
time_bucket,82,short,100,60,5.166666666666667,0.7
time_bucket,77,short,100,60,5.15,0.7166666666666667
time_bucket,42,short,100,60,5.133333333333334,0.7166666666666667
time_bucket,22,short,100,60,4.883333333333334,0.7166666666666667
time_bucket,17,short,100,60,4.833333333333333,0.8
time_bucket,19,short,100,60,4.816666666666666,0.7666666666666667
time_bucket,18,short,100,60,4.766666666666667,0.7166666666666667
time_bucket,36,short,100,60,4.766666666666667,0.6666666666666666
time_bucket,55,short,100,60,4.716666666666667,0.7166666666666667
time_bucket,33,short,100,60,4.65,0.75
time_bucket,30,short,100,60,4.633333333333334,0.6833333333333333
time_bucket,37,short,100,60,4.616666666666666,0.7666666666666667
time_bucket,79,short,100,60,4.616666666666666,0.75
time_bucket,83,short,100,60,4.466666666666667,0.7333333333333333
time_bucket,16,short,100,60,4.183333333333334,0.6666666666666666
time_bucket,27,short,100,60,4.133333333333334,0.7
time_bucket,29,short,100,60,4.083333333333333,0.6666666666666666
time_bucket,21,short,100,60,3.95,0.7166666666666667
time_bucket,31,short,100,60,3.8,0.6333333333333333
time_bucket,10,short,100,60,3.7333333333333334,0.6833333333333333
time_bucket,25,short,100,60,3.533333333333333,0.6166666666666667
time_bucket,85,short,100,60,3.45,0.65
time_bucket,84,short,100,60,3.2,0.65
time_bucket,15,short,100,60,3.183333333333333,0.6666666666666666
time_bucket,7,short,100,60,2.95,0.6
time_bucket,9,short,100,60,2.85,0.6166666666666667
time_bucket,12,short,100,60,2.75,0.55
time_bucket,20,short,100,60,2.5,0.6333333333333333
time_bucket,13,short,100,60,2.5,0.55
time_bucket,86,short,100,60,2.25,0.5666666666666667
time_bucket,89,short,100,60,2.1333333333333333,0.6
time_bucket,11,short,100,60,2.1333333333333333,0.5833333333333334
time_bucket,88,short,100,60,1.9,0.5833333333333334
time_bucket,6,short,100,60,1.75,0.5666666666666667
time_bucket,8,short,100,60,1.65,0.6
time_bucket,87,short,100,60,1.5333333333333334,0.5666666666666667
time_bucket,3,short,100,60,0.7333333333333333,0.5
