event_type,product,base,field,residue,side,horizon,count_total,count_min_day,mean_all,median_all,win_all,mean_day2,mean_day3,mean_day4,win_day2,win_day3,win_day4,stable_positive,stable_negative,same_sign,worst_day_mean,score,robust,positive_edge,abs_worst,rank_score
timestamp_bucket,PEBBLES_XS,5,timestamp,0,short,1000,27000,9000,138.44174074074073,,0.6685185185185185,189.01455555555555,161.93177777777777,64.3788888888889,0.7314444444444445,0.6597777777777778,0.6143333333333333,True,False,True,64.3788888888889,656.8983093287608,True,True,64.3788888888889,439.1486845697827
timestamp_bucket,PEBBLES_XS,10,timestamp,0,short,1000,27000,9000,138.44174074074073,,0.6685185185185185,189.01455555555555,161.93177777777777,64.3788888888889,0.7314444444444445,0.6597777777777778,0.6143333333333333,True,False,True,64.3788888888889,656.8983093287608,True,True,64.3788888888889,439.1486845697827
timestamp_bucket,PEBBLES_XS,20,timestamp,0,short,1000,27000,9000,138.44174074074073,,0.6685185185185185,189.01455555555555,161.93177777777777,64.3788888888889,0.7314444444444445,0.6597777777777778,0.6143333333333333,True,False,True,64.3788888888889,656.8983093287608,True,True,64.3788888888889,439.1486845697827
timestamp_bucket,PEBBLES_XS,25,timestamp,0,short,1000,27000,9000,138.44174074074073,,0.6685185185185185,189.01455555555555,161.93177777777777,64.3788888888889,0.7314444444444445,0.6597777777777778,0.6143333333333333,True,False,True,64.3788888888889,656.8983093287608,True,True,64.3788888888889,439.1486845697827
timestamp_bucket,PEBBLES_XS,50,timestamp,0,short,1000,27000,9000,138.44174074074073,,0.6685185185185185,189.01455555555555,161.93177777777777,64.3788888888889,0.7314444444444445,0.6597777777777778,0.6143333333333333,True,False,True,64.3788888888889,656.8983093287608,True,True,64.3788888888889,439.1486845697827
timestamp_bucket,PEBBLES_XS,100,timestamp,0,short,1000,27000,9000,138.44174074074073,,0.6685185185185185,189.01455555555555,161.93177777777777,64.3788888888889,0.7314444444444445,0.6597777777777778,0.6143333333333333,True,False,True,64.3788888888889,656.8983093287608,True,True,64.3788888888889,439.1486845697827
timestamp_bucket,PEBBLES_XS,200,timestamp,0,short,1000,13500,4500,138.47444444444446,,0.6683703703703704,188.98066666666668,161.96911111111112,64.47355555555555,0.7322222222222222,0.6595555555555556,0.6133333333333333,True,False,True,64.47355555555555,613.1769774140635,True,True,64.47355555555555,409.8293234968218
timestamp_bucket,PEBBLES_XS,200,timestamp,100,short,1000,13500,4500,138.40903703703702,,0.6686666666666666,189.04844444444444,161.89444444444445,64.28422222222223,0.7306666666666667,0.66,0.6153333333333333,True,False,True,64.28422222222223,611.3763191432935,True,True,64.28422222222223,408.8069654004822
timestamp_bucket,PEBBLES_XS,250,timestamp,50,short,1000,5400,1800,138.5222222222222,,0.6701851851851852,189.1538888888889,162.00666666666666,64.40611111111112,0.7355555555555555,0.6583333333333333,0.6166666666666667,True,False,True,64.40611111111112,553.5279783611859,True,True,64.40611111111112,370.9662506831726
timestamp_bucket,PEBBLES_XS,500,timestamp,300,short,1000,5400,1800,138.5222222222222,,0.6701851851851852,189.1538888888889,162.00666666666666,64.40611111111112,0.7355555555555555,0.6583333333333333,0.6166666666666667,True,False,True,64.40611111111112,553.5279783611859,True,True,64.40611111111112,370.9662506831726
tick_index_bucket,PEBBLES_XS,5,tick_index,3,short,1000,5400,1800,138.5222222222222,,0.6701851851851852,189.1538888888889,162.00666666666666,64.40611111111112,0.7355555555555555,0.6583333333333333,0.6166666666666667,True,False,True,64.40611111111112,553.5279783611859,True,True,64.40611111111112,370.9662506831726
timestamp_bucket,PEBBLES_XS,250,timestamp,0,short,1000,5400,1800,138.44222222222223,,0.6681481481481482,188.83833333333334,162.01222222222222,64.47611111111111,0.7322222222222222,0.6572222222222223,0.615,True,False,True,64.47611111111111,554.1295821192274,True,True,64.47611111111111,370.240654127069
timestamp_bucket,PEBBLES_XS,500,timestamp,0,short,1000,5400,1800,138.44222222222223,,0.6681481481481482,188.83833333333334,162.01222222222222,64.47611111111111,0.7322222222222222,0.6572222222222223,0.615,True,False,True,64.47611111111111,554.1295821192274,True,True,64.47611111111111,370.240654127069
tick_index_bucket,PEBBLES_XS,5,tick_index,0,short,1000,5400,1800,138.44222222222223,,0.6681481481481482,188.83833333333334,162.01222222222222,64.47611111111111,0.7322222222222222,0.6572222222222223,0.615,True,False,True,64.47611111111111,554.1295821192274,True,True,64.47611111111111,370.240654127069
timestamp_bucket,PEBBLES_XS,250,timestamp,200,short,1000,5400,1800,138.4524074074074,,0.6694444444444444,189.01611111111112,162.01333333333332,64.32777777777778,0.7327777777777778,0.6627777777777778,0.6127777777777778,True,False,True,64.32777777777778,552.8547551081394,True,True,64.32777777777778,370.1055443918378
timestamp_bucket,PEBBLES_XS,500,timestamp,200,short,1000,5400,1800,138.4524074074074,,0.6694444444444444,189.01611111111112,162.01333333333332,64.32777777777778,0.7327777777777778,0.6627777777777778,0.6127777777777778,True,False,True,64.32777777777778,552.8547551081394,True,True,64.32777777777778,370.1055443918378
tick_index_bucket,PEBBLES_XS,5,tick_index,2,short,1000,5400,1800,138.4524074074074,,0.6694444444444444,189.01611111111112,162.01333333333332,64.32777777777778,0.7327777777777778,0.6627777777777778,0.6127777777777778,True,False,True,64.32777777777778,552.8547551081394,True,True,64.32777777777778,370.1055443918378
timestamp_bucket,PEBBLES_XS,250,timestamp,100,short,1000,5400,1800,138.33685185185186,,0.667962962962963,189.00611111111112,161.71444444444444,64.29,0.7283333333333334,0.6611111111111111,0.6144444444444445,True,False,True,64.29,552.5300800641171,True,True,64.29,369.0696294057908
timestamp_bucket,PEBBLES_XS,500,timestamp,100,short,1000,5400,1800,138.33685185185186,,0.667962962962963,189.00611111111112,161.71444444444444,64.29,0.7283333333333334,0.6611111111111111,0.6144444444444445,True,False,True,64.29,552.5300800641171,True,True,64.29,369.0696294057908
tick_index_bucket,PEBBLES_XS,5,tick_index,1,short,1000,5400,1800,138.33685185185186,,0.667962962962963,189.00611111111112,161.71444444444444,64.29,0.7283333333333334,0.6611111111111111,0.6144444444444445,True,False,True,64.29,552.5300800641171,True,True,64.29,369.0696294057908
timestamp_bucket,PEBBLES_XS,250,timestamp,150,short,1000,5400,1800,138.455,,0.6668518518518518,189.05833333333334,161.91222222222223,64.39444444444445,0.7283333333333334,0.6594444444444445,0.6127777777777778,True,False,True,64.39444444444445,553.427711068179,True,True,64.39444444444445,369.05429399194674
timestamp_bucket,PEBBLES_XS,500,timestamp,400,short,1000,5400,1800,138.455,,0.6668518518518518,189.05833333333334,161.91222222222223,64.39444444444445,0.7283333333333334,0.6594444444444445,0.6127777777777778,True,False,True,64.39444444444445,553.427711068179,True,True,64.39444444444445,369.05429399194674
