day,product,side,trades,total_qty,m22_mean_t10,m22_qty_wmean_t10,contra_mean_t10,contra_qty_wmean_t10,contra_win_rate_t10,m22_mean_t50,m22_qty_wmean_t50,contra_mean_t50,contra_qty_wmean_t50,contra_win_rate_t50,m22_mean_t200,m22_qty_wmean_t200,contra_mean_t200,contra_qty_wmean_t200,contra_win_rate_t200,m22_mean_t500,m22_qty_wmean_t500,contra_mean_t500,contra_qty_wmean_t500,contra_win_rate_t500
1,HYDROGEL_PACK,buy,3,11,1.0,0.9090909090909091,-1.0,-0.9090909090909091,0.0,1.0,0.9090909090909091,-1.0,-0.9090909090909091,0.0,1.6666666666666667,1.5454545454545454,-1.6666666666666667,-1.5454545454545454,0.0,3.3333333333333335,3.1818181818181817,-3.3333333333333335,-3.1818181818181817,0.0
1,HYDROGEL_PACK,sell,2,7,2.5,2.7142857142857144,-2.5,-2.7142857142857144,0.0,2.5,2.7142857142857144,-2.5,-2.7142857142857144,0.0,1.0,1.1428571428571428,-1.0,-1.1428571428571428,0.0,4.5,5.0,-4.5,-5.0,0.0
2,HYDROGEL_PACK,buy,4,15,0.25,0.06666666666666667,-0.25,-0.06666666666666667,0.5,0.25,0.06666666666666667,-0.25,-0.06666666666666667,0.5,0.75,0.4666666666666667,-0.75,-0.4666666666666667,0.25,0.875,1.3666666666666667,-0.875,-1.3666666666666667,0.5
2,HYDROGEL_PACK,sell,4,17,-0.5,-0.7647058823529411,0.5,0.7647058823529411,0.5,-0.5,-0.7647058823529411,0.5,0.7647058823529411,0.5,-1.0,-1.2941176470588236,1.0,1.2941176470588236,0.5,-0.25,-1.0,0.25,1.0,0.5
3,HYDROGEL_PACK,buy,4,16,1.75,2.625,-1.75,-2.625,0.25,1.75,2.625,-1.75,-2.625,0.25,-0.25,0.03125,0.25,-0.03125,0.5,0.5,0.6875,-0.5,-0.6875,0.5
3,HYDROGEL_PACK,sell,2,8,0.0,-0.25,0.0,0.25,0.5,0.0,-0.25,0.0,0.25,0.5,-0.5,-0.625,0.5,0.625,0.5,-2.5,-2.125,2.5,2.125,1.0
1,VELVETFRUIT_EXTRACT,buy,10,61,0.2,0.32786885245901637,-0.2,-0.32786885245901637,0.6,0.2,0.32786885245901637,-0.2,-0.32786885245901637,0.6,0.15,0.26229508196721313,-0.15,-0.26229508196721313,0.4,0.3,0.4180327868852459,-0.3,-0.4180327868852459,0.5
1,VELVETFRUIT_EXTRACT,sell,40,274,-0.8125,-0.8266423357664233,0.8125,0.8266423357664233,0.775,-0.8125,-0.8266423357664233,0.8125,0.8266423357664233,0.775,-0.6625,-0.6843065693430657,0.6625,0.6843065693430657,0.725,-1.2375,-1.2937956204379562,1.2375,1.2937956204379562,0.7
2,VELVETFRUIT_EXTRACT,buy,9,51,0.6111111111111112,0.5980392156862745,-0.6111111111111112,-0.5980392156862745,0.2222222222222222,0.6111111111111112,0.5980392156862745,-0.6111111111111112,-0.5980392156862745,0.2222222222222222,0.0,0.0392156862745098,0.0,-0.0392156862745098,0.4444444444444444,-0.2222222222222222,-0.23529411764705882,0.2222222222222222,0.23529411764705882,0.4444444444444444
2,VELVETFRUIT_EXTRACT,sell,37,241,-0.7297297297297297,-0.7261410788381742,0.7297297297297297,0.7261410788381742,0.7567567567567568,-0.7297297297297297,-0.7261410788381742,0.7297297297297297,0.7261410788381742,0.7567567567567568,-0.9594594594594594,-0.9813278008298755,0.9594594594594594,0.9813278008298755,0.8378378378378378,-0.7567567567567568,-0.7842323651452282,0.7567567567567568,0.7842323651452282,0.5675675675675675
3,VELVETFRUIT_EXTRACT,buy,6,34,1.0,0.8823529411764706,-1.0,-0.8823529411764706,0.0,1.0,0.8823529411764706,-1.0,-0.8823529411764706,0.0,1.1666666666666667,1.338235294117647,-1.1666666666666667,-1.338235294117647,0.16666666666666666,1.8333333333333333,1.8676470588235294,-1.8333333333333333,-1.8676470588235294,0.16666666666666666
