symbol,side,timestamp,days_seen,days
HYDROGEL_PACK,buy,193400,2,"1,2"
HYDROGEL_PACK,buy,221200,2,"1,2"
HYDROGEL_PACK,buy,266300,2,"1,3"
HYDROGEL_PACK,buy,314800,2,"2,3"
HYDROGEL_PACK,buy,391700,2,"2,3"
HYDROGEL_PACK,buy,578300,2,"2,3"
HYDROGEL_PACK,buy,694500,2,"2,3"
HYDROGEL_PACK,buy,727700,2,"2,3"
HYDROGEL_PACK,buy,918200,2,"2,3"
HYDROGEL_PACK,sell,235900,2,"1,3"
HYDROGEL_PACK,sell,394800,2,"1,3"
HYDROGEL_PACK,sell,928000,2,"1,3"
VEV_4000,buy,752300,2,"2,3"
VEV_4000,sell,50200,2,"1,2"
HYDROGEL_PACK,buy,4400,1,3
HYDROGEL_PACK,buy,5100,1,1
HYDROGEL_PACK,buy,6200,1,1
HYDROGEL_PACK,buy,11200,1,2
HYDROGEL_PACK,buy,15000,1,1
HYDROGEL_PACK,buy,15700,1,2
HYDROGEL_PACK,buy,19100,1,2
HYDROGEL_PACK,buy,19200,1,3
HYDROGEL_PACK,buy,19500,1,3
HYDROGEL_PACK,buy,22300,1,3
HYDROGEL_PACK,buy,22500,1,3
HYDROGEL_PACK,buy,28400,1,3
HYDROGEL_PACK,buy,31400,1,1
HYDROGEL_PACK,buy,34200,1,3
HYDROGEL_PACK,buy,40900,1,1
HYDROGEL_PACK,buy,41100,1,2
HYDROGEL_PACK,buy,41300,1,1
HYDROGEL_PACK,buy,45100,1,2
HYDROGEL_PACK,buy,49800,1,2
HYDROGEL_PACK,buy,58300,1,2
HYDROGEL_PACK,buy,60700,1,2
HYDROGEL_PACK,buy,61100,1,1
HYDROGEL_PACK,buy,61300,1,3
HYDROGEL_PACK,buy,61400,1,1
HYDROGEL_PACK,buy,63200,1,1
HYDROGEL_PACK,buy,70900,1,2
HYDROGEL_PACK,buy,72700,1,2
HYDROGEL_PACK,buy,76600,1,1
HYDROGEL_PACK,buy,78500,1,1
HYDROGEL_PACK,buy,79800,1,1
HYDROGEL_PACK,buy,79900,1,3
HYDROGEL_PACK,buy,81700,1,1
HYDROGEL_PACK,buy,81900,1,1
HYDROGEL_PACK,buy,82300,1,1
HYDROGEL_PACK,buy,83500,1,3
HYDROGEL_PACK,buy,85500,1,2
HYDROGEL_PACK,buy,89800,1,3
HYDROGEL_PACK,buy,90100,1,2
HYDROGEL_PACK,buy,91700,1,2
HYDROGEL_PACK,buy,94400,1,1
HYDROGEL_PACK,buy,95200,1,3
HYDROGEL_PACK,buy,98600,1,1
HYDROGEL_PACK,buy,99000,1,1
HYDROGEL_PACK,buy,101800,1,2
HYDROGEL_PACK,buy,102400,1,2
HYDROGEL_PACK,buy,103100,1,1
HYDROGEL_PACK,buy,104500,1,2
HYDROGEL_PACK,buy,109600,1,2
HYDROGEL_PACK,buy,112400,1,3
HYDROGEL_PACK,buy,113900,1,1
HYDROGEL_PACK,buy,114500,1,2
HYDROGEL_PACK,buy,118500,1,3
HYDROGEL_PACK,buy,119400,1,1
HYDROGEL_PACK,buy,120700,1,1
HYDROGEL_PACK,buy,121500,1,3
HYDROGEL_PACK,buy,124900,1,2
HYDROGEL_PACK,buy,125300,1,3
HYDROGEL_PACK,buy,126000,1,1
HYDROGEL_PACK,buy,126800,1,2
HYDROGEL_PACK,buy,128200,1,3
HYDROGEL_PACK,buy,129400,1,2
HYDROGEL_PACK,buy,129500,1,1
HYDROGEL_PACK,buy,130700,1,3
HYDROGEL_PACK,buy,131500,1,3
HYDROGEL_PACK,buy,138100,1,1
HYDROGEL_PACK,buy,138200,1,3
HYDROGEL_PACK,buy,142700,1,3
HYDROGEL_PACK,buy,145100,1,2
HYDROGEL_PACK,buy,145600,1,1
HYDROGEL_PACK,buy,146500,1,1
HYDROGEL_PACK,buy,148000,1,1
HYDROGEL_PACK,buy,150600,1,2
HYDROGEL_PACK,buy,151400,1,3
HYDROGEL_PACK,buy,152300,1,3
HYDROGEL_PACK,buy,155900,1,1
HYDROGEL_PACK,buy,157000,1,2
HYDROGEL_PACK,buy,157500,1,3
HYDROGEL_PACK,buy,160100,1,3
HYDROGEL_PACK,buy,161100,1,2
HYDROGEL_PACK,buy,164300,1,1
HYDROGEL_PACK,buy,169000,1,2
HYDROGEL_PACK,buy,169200,1,2
HYDROGEL_PACK,buy,170100,1,2
HYDROGEL_PACK,buy,171400,1,1
HYDROGEL_PACK,buy,173800,1,3
HYDROGEL_PACK,buy,174100,1,3
HYDROGEL_PACK,buy,174200,1,1
HYDROGEL_PACK,buy,174400,1,1
HYDROGEL_PACK,buy,182100,1,3
HYDROGEL_PACK,buy,183400,1,3
HYDROGEL_PACK,buy,185800,1,1
HYDROGEL_PACK,buy,198800,1,3
HYDROGEL_PACK,buy,199400,1,1
HYDROGEL_PACK,buy,200100,1,3
HYDROGEL_PACK,buy,202700,1,1
HYDROGEL_PACK,buy,205400,1,3
HYDROGEL_PACK,buy,206200,1,2
HYDROGEL_PACK,buy,217100,1,3
HYDROGEL_PACK,buy,217500,1,1
HYDROGEL_PACK,buy,218500,1,1
HYDROGEL_PACK,buy,218900,1,1
HYDROGEL_PACK,buy,221900,1,3
HYDROGEL_PACK,buy,222300,1,3
HYDROGEL_PACK,buy,224300,1,2
HYDROGEL_PACK,buy,230000,1,1
HYDROGEL_PACK,buy,230800,1,1
HYDROGEL_PACK,buy,230900,1,3
HYDROGEL_PACK,buy,233000,1,2
HYDROGEL_PACK,buy,238200,1,1
