symbol,side,n,pct_any_other_same_ts,mean_other_trades_same_ts,pct_same_product_other
HYDROGEL_PACK,buy,496,0.034274193548387094,0.09274193548387097,0.0
HYDROGEL_PACK,sell,507,0.03155818540433925,0.07495069033530571,0.0
VELVETFRUIT_EXTRACT,buy,316,0.015822784810126583,0.056962025316455694,0.0031645569620253164
VELVETFRUIT_EXTRACT,sell,331,0.012084592145015106,0.04833836858006042,0.0
VEV_4000,buy,232,0.021551724137931036,0.03879310344827586,0.0
VEV_4000,sell,207,0.014492753623188406,0.014492753623188406,0.0
VEV_5200,buy,33,1.0,4.454545454545454,0.0
VEV_5300,buy,30,1.0,3.8,0.0
VEV_5400,buy,13,1.0,3.3846153846153846,0.0
VEV_5500,buy,7,1.0,3.0,0.0
