trader,product,side,day,events,mean_gap,median_gap,min_gap,max_gap,std_gap,pct_gap_le_500,pct_gap_le_1000,pct_gap_le_5000
Mark 01,VELVETFRUIT_EXTRACT,buy,1,76,12808.0,7500.0,400.0,92500.0,14593.470957746638,0.013333333333333334,0.05333333333333334,0.32
Mark 01,VELVETFRUIT_EXTRACT,buy,2,91,10914.444444444445,7100.0,100.0,59800.0,11083.336628086581,0.06666666666666667,0.1111111111111111,0.37777777777777777
Mark 01,VELVETFRUIT_EXTRACT,buy,3,93,10531.521739130434,5650.0,100.0,63400.0,11186.009013891544,0.05434782608695652,0.06521739130434782,0.44565217391304346
Mark 01,VELVETFRUIT_EXTRACT,sell,1,81,12273.75,9000.0,100.0,51800.0,10696.666270562875,0.05,0.0875,0.225
Mark 01,VELVETFRUIT_EXTRACT,sell,2,92,10487.912087912087,6300.0,100.0,73300.0,12171.759985628256,0.04395604395604396,0.08791208791208792,0.4065934065934066
Mark 01,VELVETFRUIT_EXTRACT,sell,3,71,13798.57142857143,9250.0,100.0,96900.0,15214.814413582297,0.04285714285714286,0.05714285714285714,0.3
Mark 01,VEV_5200,buy,3,11,76220.0,85850.0,4600.0,149900.0,53284.786238141605,0.0,0.0,0.1
Mark 01,VEV_5300,buy,1,32,31396.774193548386,19300.0,400.0,135900.0,33506.223142086776,0.03225806451612903,0.03225806451612903,0.12903225806451613
Mark 01,VEV_5300,buy,2,31,32430.0,27500.0,800.0,116400.0,25481.597822471944,0.0,0.03333333333333333,0.13333333333333333
Mark 01,VEV_5300,buy,3,69,13888.235294117647,10050.0,100.0,62900.0,13626.078261173729,0.058823529411764705,0.07352941176470588,0.3382352941176471
Mark 01,VEV_5400,buy,1,76,13144.0,10700.0,400.0,51500.0,10867.273458988342,0.013333333333333334,0.04,0.25333333333333335
Mark 01,VEV_5400,buy,2,78,12736.363636363636,10700.0,500.0,58400.0,11850.926114053937,0.03896103896103896,0.09090909090909091,0.2857142857142857
Mark 01,VEV_5400,buy,3,109,8927.777777777777,5600.0,100.0,52300.0,9079.934057701732,0.05555555555555555,0.08333333333333333,0.4537037037037037
Mark 01,VEV_5500,buy,1,89,11177.272727272728,7650.0,100.0,51500.0,10213.713198640113,0.03409090909090909,0.06818181818181818,0.3068181818181818
Mark 01,VEV_5500,buy,2,91,10896.666666666666,10600.0,200.0,39300.0,8787.45850438522,0.05555555555555555,0.1,0.36666666666666664
Mark 01,VEV_5500,buy,3,119,8171.186440677966,5200.0,100.0,46000.0,8211.094242900728,0.07627118644067797,0.1016949152542373,0.4745762711864407
Mark 01,VEV_6000,buy,1,98,10162.886597938144,6900.0,100.0,51500.0,9401.067310723607,0.030927835051546393,0.08247422680412371,0.36082474226804123
Mark 01,VEV_6000,buy,2,95,10432.978723404256,8850.0,200.0,39300.0,8254.804899876575,0.05319148936170213,0.09574468085106383,0.35106382978723405
Mark 01,VEV_6000,buy,3,124,7839.024390243902,5100.0,100.0,46000.0,7940.997936072751,0.07317073170731707,0.10569105691056911,0.4959349593495935
Mark 01,VEV_6500,buy,1,98,10162.886597938144,6900.0,100.0,51500.0,9401.067310723607,0.030927835051546393,0.08247422680412371,0.36082474226804123
Mark 01,VEV_6500,buy,2,95,10432.978723404256,8850.0,200.0,39300.0,8254.804899876575,0.05319148936170213,0.09574468085106383,0.35106382978723405
Mark 01,VEV_6500,buy,3,124,7839.024390243902,5100.0,100.0,46000.0,7940.997936072751,0.07317073170731707,0.10569105691056911,0.4959349593495935
Mark 14,HYDROGEL_PACK,buy,1,183,5308.791208791209,4150.0,100.0,22600.0,4635.358898932341,0.1043956043956044,0.17582417582417584,0.5824175824175825
Mark 14,HYDROGEL_PACK,buy,2,142,6995.035460992908,5100.0,100.0,39400.0,6581.080309071438,0.05673758865248227,0.10638297872340426,0.49645390070921985
Mark 14,HYDROGEL_PACK,buy,3,171,5754.705882352941,3600.0,100.0,31800.0,6315.146268946592,0.1,0.18823529411764706,0.6
Mark 14,HYDROGEL_PACK,sell,1,187,5266.666666666667,4050.0,100.0,30000.0,5114.744628289141,0.11827956989247312,0.1935483870967742,0.5752688172043011
Mark 14,HYDROGEL_PACK,sell,2,161,6131.25,3650.0,100.0,28700.0,6478.898379650392,0.11875,0.2,0.6
Mark 14,HYDROGEL_PACK,sell,3,159,6253.164556962025,4950.0,100.0,41900.0,5570.15101038392,0.0759493670886076,0.10126582278481013,0.5063291139240507
Mark 14,VELVETFRUIT_EXTRACT,buy,1,114,8604.424778761062,5500.0,100.0,42800.0,8724.589525552508,0.07079646017699115,0.11504424778761062,0.49557522123893805
Mark 14,VELVETFRUIT_EXTRACT,buy,2,92,10759.34065934066,6200.0,200.0,44900.0,10652.73025015943,0.03296703296703297,0.0989010989010989,0.43956043956043955
Mark 14,VELVETFRUIT_EXTRACT,buy,3,110,8869.724770642202,6100.0,200.0,36200.0,8593.025860665492,0.027522935779816515,0.10091743119266056,0.42201834862385323
Mark 14,VELVETFRUIT_EXTRACT,sell,1,97,9590.625,5100.0,100.0,57600.0,11589.369703809563,0.041666666666666664,0.16666666666666666,0.4895833333333333
Mark 14,VELVETFRUIT_EXTRACT,sell,2,118,8480.34188034188,5600.0,100.0,38300.0,8311.59596397209,0.10256410256410256,0.15384615384615385,0.48717948717948717
Mark 14,VELVETFRUIT_EXTRACT,sell,3,116,8581.739130434782,7000.0,100.0,33900.0,7993.589346038768,0.08695652173913043,0.1565217391304348,0.45217391304347826
Mark 14,VEV_4000,buy,1,91,10895.555555555555,7500.0,300.0,44100.0,9763.690027152496,0.06666666666666667,0.07777777777777778,0.36666666666666664
Mark 14,VEV_4000,buy,2,64,15574.603174603175,10300.0,200.0,94400.0,18392.89807063487,0.031746031746031744,0.07936507936507936,0.31746031746031744
Mark 14,VEV_4000,buy,3,77,12773.684210526315,8700.0,200.0,45800.0,11675.699761139833,0.039473684210526314,0.11842105263157894,0.34210526315789475
Mark 14,VEV_4000,sell,1,72,13988.732394366198,10500.0,200.0,93100.0,14598.596305279047,0.028169014084507043,0.07042253521126761,0.29577464788732394
Mark 14,VEV_4000,sell,2,64,15711.111111111111,11000.0,800.0,73700.0,13852.0303753534,0.0,0.015873015873015872,0.2698412698412698
Mark 14,VEV_4000,sell,3,71,14071.42857142857,11100.0,400.0,61500.0,12588.379076937554,0.02857142857142857,0.07142857142857142,0.2714285714285714
Mark 14,VEV_5200,buy,1,6,133100.0,60100.0,6000.0,346000.0,152759.40232928382,0.0,0.0,0.0
