product,side,timestamp,days,day_count,rows,total_qty,avg_trade_mo_t200
VELVETFRUIT_EXTRACT,sell,787700,"1,3",2,2,12,2.0
VELVETFRUIT_EXTRACT,sell,973300,"1,3",2,2,13,3.5
VEV_5400,buy,524000,"1,3",2,2,6,0.5
VEV_5400,buy,547600,"1,3",2,2,8,0.5
VEV_5400,buy,666500,"2,3",2,2,5,0.25
VEV_5400,buy,948500,"1,2",2,2,9,1.0
VEV_5500,buy,350300,"1,3",2,2,8,0.5
VEV_5500,buy,666500,"2,3",2,2,5,0.5
VEV_5500,buy,948500,"1,2",2,2,9,0.5
VEV_5500,buy,977300,"2,3",2,2,8,0.5
VEV_6000,buy,350300,"1,3",2,2,8,0.5
VEV_6000,buy,524000,"1,3",2,2,6,0.5
VEV_6000,buy,547600,"1,3",2,2,8,0.5
VEV_6000,buy,666500,"2,3",2,2,5,0.5
VEV_6000,buy,948500,"1,2",2,2,9,0.5
VEV_6000,buy,977300,"2,3",2,2,8,0.5
VEV_6500,buy,350300,"1,3",2,2,8,0.5
VEV_6500,buy,524000,"1,3",2,2,6,0.5
VEV_6500,buy,547600,"1,3",2,2,8,0.5
VEV_6500,buy,666500,"2,3",2,2,5,0.5
VEV_6500,buy,948500,"1,2",2,2,9,0.5
VEV_6500,buy,977300,"2,3",2,2,8,0.5
VELVETFRUIT_EXTRACT,buy,2700,2,1,1,8,0.5
VELVETFRUIT_EXTRACT,buy,5700,2,1,1,5,3.0
VELVETFRUIT_EXTRACT,buy,12600,2,1,1,3,1.5
VELVETFRUIT_EXTRACT,buy,14800,1,1,1,6,1.5
VELVETFRUIT_EXTRACT,buy,17100,3,1,1,5,-0.5
VELVETFRUIT_EXTRACT,buy,18600,3,1,1,3,-0.5
VELVETFRUIT_EXTRACT,buy,23100,2,1,1,4,0.5
VELVETFRUIT_EXTRACT,buy,38700,1,1,1,8,6.0
VELVETFRUIT_EXTRACT,buy,39100,3,1,1,5,4.0
VELVETFRUIT_EXTRACT,buy,39800,1,1,1,4,2.0
VELVETFRUIT_EXTRACT,buy,43000,2,1,1,8,3.0
VELVETFRUIT_EXTRACT,buy,43600,1,1,1,4,4.5
VELVETFRUIT_EXTRACT,buy,47700,1,1,1,4,2.5
VELVETFRUIT_EXTRACT,buy,48900,1,1,1,6,3.5
VELVETFRUIT_EXTRACT,buy,49800,1,1,1,3,3.5
VELVETFRUIT_EXTRACT,buy,53600,2,1,1,5,2.0
VELVETFRUIT_EXTRACT,buy,56400,3,1,1,5,3.5
VELVETFRUIT_EXTRACT,buy,64300,2,1,1,3,4.5
VELVETFRUIT_EXTRACT,buy,70000,2,1,1,6,1.5
VELVETFRUIT_EXTRACT,buy,73100,2,1,1,7,0.5
VELVETFRUIT_EXTRACT,buy,73200,2,1,1,5,1.5
VELVETFRUIT_EXTRACT,buy,80000,3,1,1,8,2.5
VELVETFRUIT_EXTRACT,buy,82300,1,1,1,3,2.0
VELVETFRUIT_EXTRACT,buy,84100,3,1,1,3,2.5
