symbol,side,day,timestamp,events,qty_sum
HYDROGEL_PACK,buy,1,79800,1,6
HYDROGEL_PACK,buy,1,129500,1,6
HYDROGEL_PACK,buy,1,146500,1,6
HYDROGEL_PACK,buy,1,171400,1,6
HYDROGEL_PACK,buy,1,174400,1,6
HYDROGEL_PACK,buy,1,239700,1,6
HYDROGEL_PACK,buy,1,324600,1,6
HYDROGEL_PACK,buy,1,327700,1,6
HYDROGEL_PACK,buy,1,345700,1,6
HYDROGEL_PACK,buy,1,357100,1,6
HYDROGEL_PACK,buy,1,358500,1,6
HYDROGEL_PACK,buy,1,368500,1,6
HYDROGEL_PACK,buy,1,380100,1,6
HYDROGEL_PACK,buy,1,385800,1,6
HYDROGEL_PACK,buy,1,527700,1,6
HYDROGEL_PACK,buy,1,538900,1,6
HYDROGEL_PACK,buy,1,542600,1,6
HYDROGEL_PACK,buy,1,553300,1,6
HYDROGEL_PACK,buy,1,661300,1,6
HYDROGEL_PACK,buy,1,695900,1,6
HYDROGEL_PACK,buy,1,772000,1,6
HYDROGEL_PACK,buy,1,782100,1,6
HYDROGEL_PACK,buy,1,782500,1,6
HYDROGEL_PACK,buy,1,782700,1,6
HYDROGEL_PACK,buy,1,784400,1,6
HYDROGEL_PACK,buy,1,837000,1,6
HYDROGEL_PACK,buy,1,844200,1,6
HYDROGEL_PACK,buy,1,853900,1,6
HYDROGEL_PACK,buy,1,866300,1,6
HYDROGEL_PACK,buy,1,892000,1,6
HYDROGEL_PACK,buy,1,925900,1,6
HYDROGEL_PACK,buy,1,928500,1,6
HYDROGEL_PACK,buy,1,929500,1,6
HYDROGEL_PACK,buy,1,930800,1,6
HYDROGEL_PACK,buy,1,938900,1,6
HYDROGEL_PACK,buy,1,953800,1,6
HYDROGEL_PACK,buy,1,963900,1,6
HYDROGEL_PACK,buy,2,19100,1,6
HYDROGEL_PACK,buy,2,41100,1,6
HYDROGEL_PACK,buy,2,58300,1,6
HYDROGEL_PACK,buy,2,109600,1,6
HYDROGEL_PACK,buy,2,221200,1,6
HYDROGEL_PACK,buy,2,264200,1,6
HYDROGEL_PACK,buy,2,267900,1,6
