symbol,mark_side,day,n,qty,mean_edge_vs_trade,median_edge_vs_trade,total_unit_edge,mean_unit_edge,win_rate,mean_signed_mid_move,median_signed_mid_move,horizon
VELVETFRUIT_EXTRACT,buy,1,186,1011,-2.618279569892473,-2.5,-2665.5,-2.636498516320475,0.026881720430107527,-0.13440860215053763,0.0,10
VELVETFRUIT_EXTRACT,buy,2,218,1190,-2.438073394495413,-2.5,-2946.5,-2.4760504201680673,0.022935779816513763,0.07110091743119266,0.0,10
VELVETFRUIT_EXTRACT,buy,3,194,1053,-2.4097938144329896,-2.5,-2505.5,-2.3793922127255462,0.041237113402061855,0.07989690721649484,0.0,10
VELVETFRUIT_EXTRACT,sell,1,198,1098,-2.5454545454545454,-2.5,-2766.0,-2.519125683060109,0.03535353535353535,-0.09848484848484848,-0.0,10
VELVETFRUIT_EXTRACT,sell,2,193,1099,-2.2176165803108807,-2.5,-2425.0,-2.2065514103730663,0.02072538860103627,0.23316062176165803,-0.0,10
VELVETFRUIT_EXTRACT,sell,3,209,1100,-2.5239234449760763,-2.5,-2774.0,-2.521818181818182,0.009569377990430622,-0.019138755980861243,-0.0,10
VELVETFRUIT_EXTRACT,buy,1,186,1011,-2.618279569892473,-2.5,-2665.5,-2.636498516320475,0.026881720430107527,-0.13440860215053763,0.0,50
VELVETFRUIT_EXTRACT,buy,2,218,1190,-2.438073394495413,-2.5,-2946.5,-2.4760504201680673,0.022935779816513763,0.07110091743119266,0.0,50
VELVETFRUIT_EXTRACT,buy,3,194,1053,-2.4097938144329896,-2.5,-2505.5,-2.3793922127255462,0.041237113402061855,0.07989690721649484,0.0,50
VELVETFRUIT_EXTRACT,sell,1,198,1098,-2.5454545454545454,-2.5,-2766.0,-2.519125683060109,0.03535353535353535,-0.09848484848484848,-0.0,50
VELVETFRUIT_EXTRACT,sell,2,193,1099,-2.2176165803108807,-2.5,-2425.0,-2.2065514103730663,0.02072538860103627,0.23316062176165803,-0.0,50
VELVETFRUIT_EXTRACT,sell,3,209,1100,-2.5239234449760763,-2.5,-2774.0,-2.521818181818182,0.009569377990430622,-0.019138755980861243,-0.0,50
VELVETFRUIT_EXTRACT,buy,1,186,1011,-2.4946236559139785,-2.5,-2561.5,-2.5336300692383777,0.06451612903225806,-0.010752688172043012,0.0,200
VELVETFRUIT_EXTRACT,buy,2,218,1190,-2.415137614678899,-2.5,-2887.0,-2.426050420168067,0.07339449541284404,0.09403669724770643,0.0,200
VELVETFRUIT_EXTRACT,buy,3,194,1053,-2.3221649484536084,-2.5,-2421.5,-2.2996201329534665,0.05154639175257732,0.16752577319587628,0.0,200
VELVETFRUIT_EXTRACT,sell,1,198,1098,-2.654040404040404,-2.5,-2942.0,-2.6794171220400727,0.025252525252525252,-0.20707070707070707,-0.0,200
VELVETFRUIT_EXTRACT,sell,2,193,1099,-2.145077720207254,-2.5,-2333.5,-2.1232939035486806,0.07772020725388601,0.30569948186528495,-0.0,200
VELVETFRUIT_EXTRACT,sell,3,209,1100,-2.5669856459330145,-2.5,-2811.5,-2.555909090909091,0.03827751196172249,-0.06220095693779904,-0.0,200
VELVETFRUIT_EXTRACT,buy,1,186,1011,-2.4086021505376345,-2.5,-2461.0,-2.4342235410484667,0.14516129032258066,0.07526881720430108,0.0,500
VELVETFRUIT_EXTRACT,buy,2,218,1190,-2.286697247706422,-2.5,-2728.5,-2.2928571428571427,0.14220183486238533,0.22247706422018348,0.0,500
VELVETFRUIT_EXTRACT,buy,3,194,1053,-2.198453608247423,-2.5,-2272.0,-2.157644824311491,0.12886597938144329,0.2912371134020619,0.0,500
VELVETFRUIT_EXTRACT,sell,1,198,1098,-2.7373737373737375,-2.5,-3036.5,-2.7654826958105647,0.10606060606060606,-0.2904040404040404,-0.5,500
VELVETFRUIT_EXTRACT,sell,2,193,1099,-2.1865284974093266,-2.5,-2406.0,-2.18926296633303,0.12953367875647667,0.26424870466321243,-0.0,500
VELVETFRUIT_EXTRACT,sell,3,209,1100,-2.6220095693779903,-2.5,-2893.5,-2.6304545454545454,0.09569377990430622,-0.11722488038277512,-0.0,500
