day,product,side,trades,total_qty,avg_qty,avg_signed_mid_edge,avg_spread,avg_spread_pctile,trade_mo_t10_mean,trade_mo_t10_median,mid_mo_t10_mean,win_t10,trade_mo_t50_mean,trade_mo_t50_median,mid_mo_t50_mean,win_t50,trade_mo_t200_mean,trade_mo_t200_median,mid_mo_t200_mean,win_t200,trade_mo_t500_mean,trade_mo_t500_median,mid_mo_t500_mean,win_t500
1,VELVETFRUIT_EXTRACT,buy,76,426,5.605263157894737,2.526315789473684,5.052631578947368,0.8107394736842105,3.085526315789474,3.5,0.5592105263157895,0.9868421052631579,3.085526315789474,3.5,0.5592105263157895,0.9868421052631579,3.0921052631578947,3.5,0.5657894736842105,0.9736842105263158,3.2434210526315788,3.5,0.7171052631578947,0.9342105263157895
1,VELVETFRUIT_EXTRACT,sell,81,458,5.654320987654321,2.6666666666666665,5.333333333333333,0.870567901234568,2.962962962962963,2.5,0.2962962962962963,1.0,2.962962962962963,2.5,0.2962962962962963,1.0,3.037037037037037,3.0,0.37037037037037035,0.9753086419753086,2.7962962962962963,3.0,0.12962962962962962,0.8641975308641975
1,VEV_5300,buy,32,110,3.4375,1.0,2.0,0.8697,0.828125,1.0,-0.171875,0.875,0.828125,1.0,-0.171875,0.875,0.765625,1.0,-0.234375,0.75,0.71875,1.0,-0.28125,0.65625
1,VEV_5400,buy,76,267,3.513157894736842,0.6118421052631579,1.2236842105263157,0.7000315789473684,0.5723684210526315,0.5,-0.039473684210526314,0.9210526315789473,0.5723684210526315,0.5,-0.039473684210526314,0.9210526315789473,0.5855263157894737,0.5,-0.02631578947368421,0.881578947368421,0.625,0.5,0.013157894736842105,0.8947368421052632
1,VEV_5500,buy,89,310,3.4831460674157304,0.5393258426966292,1.0786516853932584,0.8593101123595506,0.5112359550561798,0.5,-0.028089887640449437,0.9438202247191011,0.5112359550561798,0.5,-0.028089887640449437,0.9438202247191011,0.5337078651685393,0.5,-0.0056179775280898875,0.9550561797752809,0.5168539325842697,0.5,-0.02247191011235955,0.9213483146067416
1,VEV_6000,buy,98,345,3.520408163265306,0.5,1.0,1.0,0.5,0.5,0.0,1.0,0.5,0.5,0.0,1.0,0.5,0.5,0.0,1.0,0.5,0.5,0.0,1.0
1,VEV_6500,buy,98,345,3.520408163265306,0.5,1.0,1.0,0.5,0.5,0.0,1.0,0.5,0.5,0.0,1.0,0.5,0.5,0.0,1.0,0.5,0.5,0.0,1.0
2,VELVETFRUIT_EXTRACT,buy,91,505,5.549450549450549,2.587912087912088,5.175824175824176,0.8357417582417582,2.60989010989011,2.5,0.02197802197802198,0.989010989010989,2.60989010989011,2.5,0.02197802197802198,0.989010989010989,2.478021978021978,2.5,-0.10989010989010989,0.9560439560439561,2.5054945054945055,2.5,-0.08241758241758242,0.8901098901098901
2,VELVETFRUIT_EXTRACT,sell,92,528,5.739130434782608,2.6630434782608696,5.326086956521739,0.8594847826086955,2.902173913043478,3.0,0.2391304347826087,0.9891304347826086,2.902173913043478,3.0,0.2391304347826087,0.9891304347826086,2.907608695652174,3.0,0.24456521739130435,1.0,2.744565217391304,3.0,0.08152173913043478,0.9239130434782609
2,VEV_5300,buy,31,107,3.4516129032258065,0.9838709677419355,1.967741935483871,0.8683387096774193,0.8387096774193549,1.0,-0.14516129032258066,0.8387096774193549,0.8387096774193549,1.0,-0.14516129032258066,0.8387096774193549,0.7258064516129032,1.0,-0.25806451612903225,0.7096774193548387,0.9354838709677419,1.0,-0.04838709677419355,0.8387096774193549
