day,timestamp,group,trades,products,qty,quantity_set,side_set,best_touch_match_rate,inside_1_match_rate,wall_mid_match_rate,residual_fair_match_rate,mean_price_minus_wall_mid,mean_abs_price_minus_residual_fair,full_group,same_qty
2,1700,GALAXY_SOUNDS,5,5,20,4,sell_at_bid,1.0,0.0,0.0,0.0,-6.4,1770.819360911577,True,True
2,1700,OXYGEN_SHAKE,5,5,20,4,sell_at_bid,1.0,0.0,0.0,0.0,-6.4,1680.8667724456288,True,True
2,1700,PANEL,5,5,20,4,sell_at_bid,1.0,0.0,0.0,0.0,-4.8,1203.2943542822336,True,True
2,1700,ROBOT,5,5,20,4,sell_at_bid,1.0,0.0,0.0,0.0,-3.6,341.98925894510757,True,True
2,1700,SLEEP_POD,5,5,20,4,sell_at_bid,1.0,0.0,0.0,0.0,-4.4,1221.0174858451992,True,True
2,1700,SNACKPACK,5,5,20,4,sell_at_bid,1.0,0.0,0.0,0.0,-8.5,253.78737841189394,True,True
2,1700,TRANSLATOR,5,5,20,4,sell_at_bid,1.0,0.0,0.0,0.0,-4.5,1120.4810250342882,True,True
2,1700,UV_VISOR,5,5,20,4,sell_at_bid,1.0,0.0,0.0,0.0,-6.6,1112.6295797545852,True,True
2,4500,PEBBLES,5,5,15,3,buy_at_ask,1.0,0.0,0.0,0.0,6.6,6.922980381880916,True,True
2,5700,MICROCHIP,5,5,5,1,sell_at_bid,1.0,0.0,0.0,0.0,-4.5,535.9509244405988,True,True
2,9000,MICROCHIP,5,5,5,1,buy_at_ask,1.0,0.0,0.0,0.0,4.5,527.1654250461045,True,True
2,10100,PEBBLES,5,5,20,4,buy_at_ask,1.0,0.0,0.0,0.0,6.4,5.919319519731653,True,True
2,14500,GALAXY_SOUNDS,5,5,5,1,buy_at_ask,1.0,0.0,0.0,0.0,6.8,1881.2229073349001,True,True
2,14500,OXYGEN_SHAKE,5,5,5,1,buy_at_ask,1.0,0.0,0.0,0.0,6.3,1666.006573280388,True,True
2,14500,PANEL,5,5,5,1,buy_at_ask,1.0,0.0,0.0,0.0,4.8,1113.3404085691857,True,True
2,14500,ROBOT,5,5,5,1,buy_at_ask,1.0,0.0,0.0,0.0,3.9,315.8527478416378,True,True
2,14500,SLEEP_POD,5,5,5,1,buy_at_ask,1.0,0.0,0.0,0.0,4.5,1219.259079275979,True,True
2,14500,SNACKPACK,5,5,5,1,buy_at_ask,1.0,0.0,0.0,0.0,8.5,258.162377759031,True,True
2,14500,TRANSLATOR,5,5,5,1,buy_at_ask,1.0,0.0,0.0,0.0,4.4,1103.80325895118,True,True
2,14500,UV_VISOR,5,5,5,1,buy_at_ask,1.0,0.0,0.0,0.0,6.5,1074.5291198999287,True,True
2,15100,GALAXY_SOUNDS,5,5,10,2,buy_at_ask,1.0,0.0,0.0,0.0,6.3,1861.702298806093,True,True
2,15100,OXYGEN_SHAKE,5,5,10,2,buy_at_ask,1.0,0.0,0.0,0.0,6.4,1643.737112939228,True,True
2,15100,PANEL,5,5,10,2,buy_at_ask,1.0,0.0,0.0,0.0,4.8,1111.0646132434838,True,True
