group,at_ask_count,at_bid_count,at_touch_share,book_gap_mean_median,fwd_abs_move_h5_to_halfspread,imbalance_abs_mean,imbalance_corr_h1,imbalance_extreme_active_edge_h1,imbalance_extreme_mid_edge_h1,imbalance_extreme_n,imbalance_extreme_passive_edge_h1,imbalance_extreme_passive_fill_next5,inside_count,inside_share,mid_ret_abs_mean,mid_ret_sd,move_tick_pct,outside_count,outside_share,passive_buy_fill_next5_pct,passive_sell_fill_next5_pct,spread_median,spread_p90,ticks,top3_depth_median,top_depth_median,top_depth_share_median,touch_qty_to_depth_median,trade_count,trade_markout_1_mean,trade_markout_20_mean,trade_markout_5_mean,trade_qty,trade_ticks_pct,min_product_trade_ticks_pct,max_product_spread_median
GALAXY_SOUNDS,119.33333333333333,125.0,1.0,1.5666666666666667,2.840055452568871,0.02115758686221107,0.0572107615882387,-0.0051813657939059786,3.4845396697800237,332.3333333333333,6.974260705353953,0.047044276016944823,0.0,0.0,8.638363836383638,10.836471768894873,0.9757133333333333,0.0,0.0,0.0436,0.04340666666666667,13.8,14.8,10000.0,99.33333333333333,36.0,0.370101986044015,0.13474025974025974,244.33333333333334,-7.0282144899488355,-7.839534204839674,-7.310367714137274,601.6666666666666,0.02443333333333333,0.0229,16.0
MICROCHIP,100.0,89.66666666666667,1.0,1.0666666666666667,5.628726776123474,0.06772751725628832,0.01812038339847773,-2.4058511837627754,1.1455781801871316,1198.9333333333334,4.697007544137038,0.043583928517486596,0.0,0.0,11.065713237990467,13.923405616585539,0.9782266666666667,0.0,0.0,0.0402,0.039266666666666665,9.0,9.666666666666666,10000.0,32.0,13.133333333333333,0.40631887662847416,0.29507936507936505,189.66666666666666,-4.6758691434402815,-5.285269869590135,-5.010401217045475,373.0,0.018966666666666666,0.0174,13.0
OXYGEN_SHAKE,119.33333333333333,125.0,1.0,1.5,2.849474711892847,0.02115758686221107,0.056988288082835986,0.060220525187566994,3.3415339279334457,332.3333333333333,6.622847330679324,0.048505512172714746,0.0,0.0,8.108507517418408,10.741609177663861,0.87512,0.0,0.0,0.04463333333333333,0.04548,13.066666666666666,13.666666666666666,10000.0,99.33333333333333,36.0,0.370101986044015,0.13474025974025974,244.33333333333334,-6.364726803437743,-5.461633798060305,-6.446624803377455,601.6666666666666,0.02443333333333333,0.0229,17.0
PANEL,119.33333333333333,125.0,1.0,1.0666666666666667,3.839339775023117,0.041810425029129065,0.03418835758544041,-1.580515995670307,1.6163546915516398,780.0,4.813225378773586,0.04895998753301574,0.0,0.0,7.864219755308865,9.862360749793101,0.9729866666666667,0.0,0.0,0.04796,0.04617333333333333,9.666666666666666,10.133333333333333,10000.0,67.86666666666666,25.2,0.3764175418904304,0.20127446627446627,244.33333333333334,-4.586393241430487,-4.398798406236736,-4.791662925585135,601.6666666666666,0.02443333333333333,0.0229,12.0
PEBBLES,107.0,107.66666666666667,1.0,1.5,5.139164008434913,0.01830099805688251,0.02727717439326721,-0.48070427402970534,2.9581375853096206,419.46666666666664,6.396979444648946,0.04574355304083336,0.0,0.0,14.458085808580858,18.109205907600675,0.9840266666666667,0.0,0.0,0.0435,0.0436,12.933333333333334,14.066666666666666,10000.0,76.0,24.266666666666666,0.33396825396825397,0.28574314574314574,214.66666666666666,-6.470803260801881,-6.459799973277373,-6.4312525821901305,761.0,0.02146666666666667,0.0202,18.0
ROBOT,119.33333333333333,125.0,1.0,1.0,4.9705579747545725,0.11575665725975166,0.018610628638796586,-2.7416683108763715,0.5136461725589634,1577.8666666666666,3.7689606559942983,0.05271101817524513,0.0,0.0,7.815394872820615,11.24198290774212,0.8500733333333332,0.0,0.0,0.053373333333333335,0.052026666666666666,7.166666666666667,7.8,10000.0,32.0,14.333333333333334,0.4416940667405064,0.3358302808302808,244.33333333333334,-3.6191470703431934,-3.2415305155522356,-3.17114315437776,601.6666666666666,0.02443333333333333,0.0229,8.5
SLEEP_POD,119.33333333333333,125.0,1.0,1.0333333333333334,4.146825871569743,0.023461249782812072,0.03799386783869121,-0.4349197351659356,2.3591366104939544,506.6666666666667,5.153192956153844,0.04562805890027132,0.0,0.0,8.798749874987498,11.046896348184424,0.9761133333333334,0.0,0.0,0.048793333333333334,0.04727333333333333,9.933333333333334,10.4,10000.0,60.0,22.133333333333333,0.3722225557301568,0.2213268213268213,244.33333333333334,-5.019070896136992,-6.415599522201408,-5.179907176989313,601.6666666666666,0.02443333333333333,0.0229,11.0
SNACKPACK,119.33333333333333,125.0,1.0,2.0,1.4683575966261566,0.02524580877500911,0.11252858617312658,-0.03895858214668504,4.231223983055172,332.3333333333333,8.50140654825703,0.03927397539937733,0.0,0.0,5.508150815081508,6.9103738159247765,0.96044,0.0,0.0,0.037013333333333336,0.035153333333333335,16.933333333333334,17.666666666666668,10000.0,160.0,58.666666666666664,0.3707231040564374,0.08258258258258258,244.33333333333334,-8.277986679142291,-8.23481866757356,-8.433666090510192,601.6666666666666,0.02443333333333333,0.0229,19.0
TRANSLATOR,119.33333333333333,125.0,1.0,1.0,4.087074063968011,0.041890940344763365,0.03354443034986533,-1.9666349114126642,1.376170339751872,891.6666666666666,4.718975590916409,0.05192670427384384,0.0,0.0,7.916224955828917,9.932322035119505,0.9723866666666667,0.0,0.0,0.047939999999999997,0.04841333333333333,8.933333333333334,9.333333333333334,10000.0,60.0,22.4,0.3761150935882119,0.21885225885225884,244.33333333333334,-4.336650625105095,-6.13226916791687,-4.100568144968094,601.6666666666666,0.02443333333333333,0.0229,10.0
UV_VISOR,119.33333333333333,125.0,1.0,1.5666666666666667,2.8502070225922154,0.021237621768344005,0.05949561234457719,0.10246977491961415,3.4525254197927833,334.0,6.802581064665953,0.04722402388608176,0.0,0.0,8.230586391972532,10.32374549037268,0.9732866666666666,0.0,0.0,0.045919999999999996,0.041653333333333334,13.333333333333334,14.0,10000.0,99.33333333333333,36.0,0.370101986044015,0.13474025974025974,244.33333333333334,-6.290751078635975,-5.62092661363867,-5.619064282206478,601.6666666666666,0.02443333333333333,0.0229,15.0
