group,full_group_events,same_qty_events,avg_qty,best_touch_match_rate,inside_1_match_rate,wall_mid_match_rate,residual_fair_match_rate,mean_abs_price_minus_residual_fair
GALAXY_SOUNDS,733,733,12.312414733969986,1.0,0.0,0.014733969986357436,0.00027285129604365623,1178.2791906214038
OXYGEN_SHAKE,733,733,12.312414733969986,1.0,0.0,0.017735334242837655,0.00027285129604365623,824.5749493376375
PANEL,733,733,12.312414733969986,1.0,0.0,0.01527967257844475,0.001091405184174625,900.7291768033289
ROBOT,733,733,12.312414733969986,1.0,0.0,0.01637107776261937,0.001091405184174625,591.8384079555967
SLEEP_POD,733,733,12.312414733969986,1.0,0.0,0.01718963165075034,0.0,707.3523739056944
SNACKPACK,733,733,12.312414733969986,1.0,0.0,0.015279672578444746,0.005457025920873124,146.44075282075434
TRANSLATOR,733,733,12.312414733969986,1.0,0.0,0.016916780354706687,0.0008185538881309687,779.9641024787336
UV_VISOR,733,733,12.312414733969986,1.0,0.0,0.016916780354706687,0.0016371077762619374,684.4017164207103
PEBBLES,644,644,17.725155279503106,1.0,0.0,0.006521739130434783,0.0,6.679236360252645
MICROCHIP,569,569,9.833040421792619,1.0,0.0,0.0035149384885764497,0.0017574692442882249,910.444590117214
