day,group,intra_group_corr,intra_mid_corr,spread_to_vol,median_spread,ret_vol,depth,lively_ticks_pct,mid_range,tradeability_score,day_rank
2,GALAXY_SOUNDS,0.0038477197395230603,0.4403215436883413,0.8025812848800584,13.0,10.43355670344076,100.0,0.9752575257525754,1819.0,0.30117004233933864,9.0
2,SLEEP_POD,0.009192707937681269,0.5009001242657953,1.159899028894368,9.0,10.439091260049313,60.0,0.9744574457445744,1855.5,0.6234157583110779,4.0
2,MICROCHIP,0.009716064142768432,0.2865607200143162,1.5617406950112513,9.0,14.055666255101261,32.0,0.9774177417741774,1704.8,0.4746019262644094,6.0
2,PEBBLES,0.20509467571973028,0.5215686442397016,1.3937268861138474,13.0,18.118449519480016,76.0,0.9838183818381838,2629.6,21.3727590268284,2.0
2,ROBOT,0.008072620667857055,0.27887437990485375,1.5048637491711752,7.0,10.534046244198226,32.0,0.8980298029802981,1323.4,0.34910209431891376,8.0
2,UV_VISOR,0.00846650817278123,0.42042277977785697,0.7877720941605288,13.0,10.241037224086876,100.0,0.9726172617261726,1544.3,0.64870448025356,3.0
2,TRANSLATOR,0.00839174948017904,0.4338517621190987,1.096591942657304,9.0,9.869327483915736,60.0,0.9723572357235725,1389.2,0.5368768300638722,5.0
2,PANEL,0.005837128806349738,0.35074085813033695,1.114594821869193,9.0,10.031353396822738,62.0,0.973937393739374,1557.9,0.392861099800048,7.0
2,OXYGEN_SHAKE,0.004153446692843963,0.3250896331178942,0.8418276351108311,13.0,10.943759256440805,100.0,0.820742074207421,1581.5,0.2869713341967318,10.0
2,SNACKPACK,0.37450780526438826,0.3327809140115178,0.40852953619531873,17.0,6.945002115320419,160.0,0.9596359635963596,882.3,23.491504532332616,1.0
3,GALAXY_SOUNDS,0.008013165434390046,0.4327878865319332,0.7834615699662449,14.0,10.96846197952743,100.0,0.9754975497549754,1606.0,0.6124180613265786,6.0
3,SLEEP_POD,0.008341503955549522,0.5843045799095214,1.1001006070298653,10.0,11.001006070298653,60.0,0.9776577657765776,1591.9,0.5382882117877292,9.0
3,MICROCHIP,0.011593469235103786,0.5162964444582165,1.7889451396444263,8.0,14.31156111715541,32.0,0.9786578657865785,2367.8,0.6495181715012374,5.0
3,PEBBLES,0.20791025121034626,0.31037930641317485,1.3960177110674246,13.0,18.14823024387652,76.0,0.9842784278427843,2437.7,21.711928017728642,2.0
3,ROBOT,0.006781053056819164,0.5862636421853562,1.4381591385064278,7.0,10.067113969544994,32.0,0.9018301830183019,1803.0,0.28143547046801304,10.0
3,UV_VISOR,0.011905561530819028,0.22512058559307918,0.7415651863942008,14.0,10.38191260951881,100.0,0.9744774477447745,1303.5,0.8603417723636014,3.0
3,TRANSLATOR,0.010492181507296593,0.41445246936463487,1.1056639322399038,9.0,9.950975390159135,60.0,0.9715971597159717,1507.2,0.6762798141754024,4.0
3,PANEL,0.008444930337640273,0.4448263348459399,1.0897892914305802,9.0,9.808103622875223,62.0,0.9730773077307731,1716.3,0.5552360320276155,8.0
3,OXYGEN_SHAKE,0.00850425609463829,0.3111740002662505,0.794060274391366,13.0,10.322783567087757,100.0,0.9049904990499049,1485.8,0.6111303035953443,7.0
3,SNACKPACK,0.3739534061078374,0.48373475129884724,0.4068792483304838,17.0,6.916947221618225,160.0,0.9616961696169618,747.5,23.412128695354376,1.0
4,GALAXY_SOUNDS,0.009547739379323728,0.3043880143579776,0.7932693535529162,14.0,11.105770949740826,98.0,0.9766776677667768,1692.0,0.7249341608705423,4.0
4,SLEEP_POD,0.010034635324688698,0.44900570179670807,1.1698934472596842,10.0,11.698934472596843,60.0,0.9765176517651764,1594.2,0.6878270497469574,5.0
4,MICROCHIP,0.008884728540070507,0.5410049038994813,1.675112588194957,8.0,13.400900705559655,32.0,0.978897889788979,2222.0,0.4662035068473108,9.0
4,PEBBLES,0.20839136386534535,0.5197427447043353,1.3890939414590462,13.0,18.0582212389676,76.0,0.9842784278427844,2813.0,21.65423737994895,2.0
4,ROBOT,0.01140684304608618,0.37207422486195985,1.8747288573189131,7.0,13.123102001232391,32.0,0.7506150615061505,1069.2,0.5136546016355836,8.0
4,UV_VISOR,0.00933498965428188,0.27565555399364167,0.7390527058638144,14.0,10.346737882093402,98.0,0.9730573057305731,1738.8,0.6578906977755845,6.0
4,TRANSLATOR,0.009119158706679014,0.4873684262703482,1.1083525774136802,9.0,9.975173196723121,60.0,0.9734973497349735,1474.8,0.5903624597114946,7.0
4,PANEL,0.005836877018669888,0.4749837078956961,1.082905076736174,9.0,9.746145690625568,62.0,0.9722372237223722,1633.0,0.38100867753042483,10.0
4,OXYGEN_SHAKE,0.010976574487526076,0.4479897172148063,0.9130561055545844,12.0,10.956673266655013,98.0,0.8998899889988998,1736.5,0.8838524903881965,3.0
4,SNACKPACK,0.37402862696855205,0.4339590016808305,0.404007966186879,17.0,6.868135425176943,160.0,0.9602760276027602,724.3,23.21725340217606,1.0
