group,relation_type,coefficients,relation,nonzero_terms,l1_abs_coeff,l2_abs_coeff,resid_sd_per_l1,one_way_cross_cost,round_trip_cross_cost,round_trip_cost_z,median_half_spread_z,resid_mean,resid_sd,resid_sd_full_intercept,resid_range,resid_p50_abs,resid_p90_abs,resid_p95_abs,resid_p99_abs,resid_max_abs,resid_acf1,half_life,adf_t,adf_days_lt_-2_8,daily_sd_min,daily_sd_max,daily_half_life_max,day_mean_min,day_mean_max,day_mean_range
PEBBLES,integer_search,"1,1,1,1,1",1*PEBBLES_XS +1*PEBBLES_S +1*PEBBLES_M +1*PEBBLES_L +1*PEBBLES_XL,5,5.0,2.23606797749979,0.5596653814259612,32.0,64.0,22.870808924052284,2.3228165313490603,49999.93958333333,2.7983269071298063,2.798441499547362,35.0,0.4407500000015716,0.908000000003085,1.0592499999984284,17.408000000003085,18.470000000001164,0.012926459996369882,0.15939991789422467,-170.97177623305453,3,2.757689250078768,2.821296588007011,0.18127488385189658,49999.908,49999.97,0.06199999999807915
PEBBLES,signed_index,"1,1,1,1,1",1*PEBBLES_XS +1*PEBBLES_S +1*PEBBLES_M +1*PEBBLES_L +1*PEBBLES_XL,5,5.0,2.23606797749979,0.5596653814259612,32.0,64.0,22.870808924052284,2.3228165313490603,49999.93958333333,2.7983269071298063,2.798441499547362,35.0,0.4407500000015716,0.908000000003085,1.0592499999984284,17.408000000003085,18.470000000001164,0.012926459996369882,0.15939991789422467,-170.97177623305453,3,2.757689250078768,2.821296588007011,0.18127488385189658,49999.908,49999.97,0.06199999999807915
SNACKPACK,pca_smallest_rational,"56,56,-8,-7,-14",56*SNACKPACK_CHOCOLATE +56*SNACKPACK_VANILLA -8*SNACKPACK_PISTACHIO -7*SNACKPACK_STRAWBERRY -14*SNACKPACK_RASPBERRY,5,141.0,81.12336284942828,15.442128119672436,1198.0,2396.0,1.100425256786362,0.003903845860886509,824675.3707666667,2177.3400648738134,5212.931993636794,12932.5,1530.7136500000488,3596.0825449999893,4166.7249725000465,5257.959086500004,6822.661250000005,0.9979080439198575,330.9925659312956,-5.300003661268951,1,1810.3890167388547,2426.40962251295,463.40595615476144,820044.33875,831182.0599,11137.721149999998
SNACKPACK,integer_search,"2,2,-1,-1,-2",2*SNACKPACK_CHOCOLATE +2*SNACKPACK_VANILLA -1*SNACKPACK_PISTACHIO -1*SNACKPACK_STRAWBERRY -2*SNACKPACK_RASPBERRY,5,8.0,3.7416573867739413,16.389118108375246,68.0,136.0,1.0372736280003119,0.06482960175001949,-476.7283166666667,131.11294486700197,342.93352401959726,816.8418999999999,89.06375000000003,217.93624999999997,255.43624999999997,315.06716899999947,486.40565,0.9984492645341563,446.63297696087875,-4.800235231252086,1,101.05917895509295,145.95582092173473,746.3221016327341,-736.43625,-30.59435,705.8419
SNACKPACK,integer_search,"3,3,-1,0,-1",3*SNACKPACK_CHOCOLATE +3*SNACKPACK_VANILLA -1*SNACKPACK_PISTACHIO -1*SNACKPACK_RASPBERRY,4,8.0,4.47213595499958,18.503251603930572,67.5,135.0,0.9120018665484347,0.05742233974564218,40248.36636666667,148.02601283144458,166.76586164080132,837.5,104.31715000000258,241.14944999999716,299.63334749999956,369.8535390000023,439.85055000000284,0.9986124441371185,499.1987692782427,-4.600990105967739,1,131.1272806889455,174.4076342643793,708.4220322892701,40175.81715,40354.64945,178.83229999999458
SNACKPACK,integer_search,"3,3,0,-1,-1",3*SNACKPACK_CHOCOLATE +3*SNACKPACK_VANILLA -1*SNACKPACK_STRAWBERRY -1*SNACKPACK_RASPBERRY,4,8.0,4.47213595499958,20.30980385738769,68.5,137.0,0.8431888422088716,0.05231463619544094,39037.60178333333,162.4784308591015,524.3755838599719,944.5,109.57009999999718,276.31735500000093,332.0813625000023,436.43039999999746,519.9303999999975,0.9986206096745716,502.155914502423,-4.609431192048727,1,116.98260762177428,209.2896336559458,1362.925525086444,38529.30485,39714.9304,1185.625549999997
SNACKPACK,integer_search,"1,1,0,0,0",1*SNACKPACK_CHOCOLATE +1*SNACKPACK_VANILLA,2,2.0,1.4142135623730951,20.67204326233359,17.0,34.0,0.822366700004716,0.205591675001179,19940.674116666665,41.34408652466718,76.1970428672906,232.0,31.093400000001566,65.5435499999985,73.5435499999985,94.09340000000157,128.90659999999843,0.9977669193146866,310.052820733644,-5.460803817948287,2,31.600795351383166,48.219927171657986,431.05928423741665,19870.0934,20025.04355,154.95014999999694
SNACKPACK,integer_search,"2,2,-1,0,-1",2*SNACKPACK_CHOCOLATE +2*SNACKPACK_VANILLA -1*SNACKPACK_PISTACHIO -1*SNACKPACK_RASPBERRY,4,6.0,3.1622776601683795,21.040945328299664,50.5,101.0,0.8000274260820794,0.06732904080888787,20307.69225,126.24567196979798,133.04711426760633,738.5,81.56825000000026,211.0720150000002,248.60589999999866,310.89410000000134,373.60589999999866,0.9989524946361512,661.3656629936756,-4.210205389443767,0,100.1143294997774,159.57350417657062,1062.196275898178,20248.93175,20344.5391,95.60735000000204
SNACKPACK,integer_search,"1,1,-1,-1,-2",1*SNACKPACK_CHOCOLATE +1*SNACKPACK_VANILLA -1*SNACKPACK_PISTACHIO -1*SNACKPACK_STRAWBERRY -2*SNACKPACK_RASPBERRY,5,6.0,2.8284271247461903,21.104244608697798,51.0,102.0,0.8055251592844838,0.0671270966070403,-20417.402433333333,126.62546765218679,285.51027532136015,758.3917499999989,86.03974999999991,204.04956500000029,245.5296500000004,302.8637754999982,429.36209999999846,0.9985401619657874,474.46435825748733,-4.689667784274198,1,86.9264697600075,148.94636113674446,816.5873092412407,-20606.52965,-20055.6379,550.8917499999989
SNACKPACK,integer_search,"2,2,1,1,1",2*SNACKPACK_CHOCOLATE +2*SNACKPACK_VANILLA +1*SNACKPACK_PISTACHIO +1*SNACKPACK_STRAWBERRY +1*SNACKPACK_RASPBERRY,5,7.0,3.3166247903554,22.295483587157758,59.5,119.0,0.7624862646976642,0.054463304621261734,70161.61271666667,156.06838511010432,173.82717068960494,759.5,122.75040000000445,245.30754999999772,274.8960999999981,330.60535700000156,391.3960999999981,0.9978707434266877,325.188135138492,-5.634436446927606,2,136.37724109248398,182.6071219990885,468.4459463967963,70065.8961,70253.2496,187.35349999999744
