day,timestamp,side,quantity,price,counterparty,bid_price_1,ask_price_1,spread,mid_price,imbalance_3,ret_lag100,ret_lag500,ret_lag2000,fwd200,mid_minus_mu,price_location,save_vs_touch_aggressive,mid_capture_signed,save_vs_touch_as_frac_of_spread,vs_improve_1_quote
1,6200,sell,5,9955.0,Mark 38,9939.0,9955.0,16.0,9947.0,0.0,-2.0,-3.0,-18.0,8.0,-53.0,at_ask,16.0,8.0,1.0,1.0
1,15000,sell,4,9966.0,Mark 38,9951.0,9966.0,15.0,9958.5,0.0,0.5,1.5,-4.5,10.0,-41.5,at_ask,15.0,7.5,1.0,1.0
1,22800,buy,6,9946.0,Mark 38,9946.0,9962.0,16.0,9954.0,0.0,-4.0,-4.0,-6.0,7.0,-46.0,at_bid,16.0,8.0,1.0,1.0
1,30800,buy,2,9940.0,Mark 38,9940.0,9956.0,16.0,9948.0,0.0,2.0,1.0,2.0,6.0,-52.0,at_bid,16.0,8.0,1.0,1.0
1,31400,sell,3,9953.0,Mark 38,9937.0,9953.0,16.0,9945.0,0.0,-2.0,-1.0,1.0,8.0,-55.0,at_ask,16.0,8.0,1.0,1.0
1,32000,buy,5,9938.0,Mark 38,9938.0,9954.0,16.0,9946.0,0.0,0.5,1.0,2.0,9.0,-54.0,at_bid,16.0,8.0,1.0,1.0
1,33600,buy,6,9948.0,Mark 38,9948.0,9964.0,16.0,9956.0,0.0,0.0,3.0,11.0,5.0,-44.0,at_bid,16.0,8.0,1.0,1.0
1,37400,buy,4,9936.0,Mark 38,9936.0,9952.0,16.0,9944.0,0.0,-2.0,-1.5,-11.0,12.0,-56.0,at_bid,16.0,8.0,1.0,1.0
1,40900,sell,5,9951.0,Mark 38,9935.0,9951.0,16.0,9943.0,0.0,-2.0,0.0,-4.5,7.0,-57.0,at_ask,16.0,8.0,1.0,1.0
1,41300,sell,5,9953.0,Mark 38,9937.0,9953.0,16.0,9945.0,0.0,0.0,0.0,-4.5,8.0,-55.0,at_ask,16.0,8.0,1.0,1.0
1,43900,buy,6,9952.0,Mark 38,9952.0,9968.0,16.0,9960.0,0.0,0.0,0.0,12.0,16.0,-40.0,at_bid,16.0,8.0,1.0,1.0
1,45200,buy,2,9961.0,Mark 38,9961.0,9977.0,16.0,9969.0,0.0,-3.0,1.0,12.0,10.0,-31.0,at_bid,16.0,8.0,1.0,1.0
1,48300,buy,3,9960.0,Mark 38,9960.0,9975.0,15.0,9967.5,0.0,-1.5,-1.5,-4.5,6.0,-32.5,at_bid,15.0,7.5,1.0,1.0
1,52400,buy,5,9961.0,Mark 38,9961.0,9977.0,16.0,9969.0,0.0,-2.0,-4.0,-11.0,9.0,-31.0,at_bid,16.0,8.0,1.0,1.0
1,53000,buy,4,9961.0,Mark 38,9961.0,9977.0,16.0,9969.0,0.0,0.0,-2.0,-10.0,6.0,-31.0,at_bid,16.0,8.0,1.0,1.0
1,59300,buy,4,9949.0,Mark 38,9949.0,9965.0,16.0,9957.0,0.0,3.0,1.0,8.5,6.0,-43.0,at_bid,16.0,8.0,1.0,1.0
1,61100,sell,2,9961.0,Mark 38,9945.0,9961.0,16.0,9953.0,0.0,0.0,-1.0,-2.0,9.0,-47.0,at_ask,16.0,8.0,1.0,1.0
