product,group,day,bucket,n_obs,mean_mid,median_mid,open_mid,close_mid,vwap_mid,micro_mid,mean_spread,mean_depth,day_mean_mid,group_bucket_mean,bucket0_mean_mid,prev_bucket_mean_mid,delta_from_bucket0,delta_from_day_mean,delta_from_prev_bucket,delta_from_group_bucket_mean
GALAXY_SOUNDS_BLACK_HOLES,GALAXY_SOUNDS,2,0,2000,9989.38175,9919.5,10000.0,10560.5,9989.366777,9989.366559,12.8285,99.415,10680.49205,10146.71085,9989.38175,,0.0,-691.1103,,-157.3291
GALAXY_SOUNDS_BLACK_HOLES,GALAXY_SOUNDS,2,1,2000,10468.5505,10481.5,10557.0,10680.5,10468.545576,10468.536886,13.352,99.47,10680.49205,10314.94535,9989.38175,9989.38175,479.16875,-211.94155,479.16875,153.60515
GALAXY_SOUNDS_BLACK_HOLES,GALAXY_SOUNDS,2,2,2000,10483.274,10555.0,10691.5,10522.5,10483.261831,10483.257796,13.345,98.5835,10680.49205,10346.3518,9989.38175,10468.5505,493.89225,-197.21805,14.7235,136.9222
GALAXY_SOUNDS_BLACK_HOLES,GALAXY_SOUNDS,2,3,2000,10968.923,10888.5,10532.0,11578.5,10968.939751,10968.925002,13.952,98.8065,10680.49205,10524.4345,9989.38175,10483.274,979.54125,288.43095,485.649,444.4885
GALAXY_SOUNDS_BLACK_HOLES,GALAXY_SOUNDS,2,4,2000,11492.331,11477.5,11573.5,11446.5,11492.347983,11492.327623,14.538,99.4305,10680.49205,10635.4415,9989.38175,10968.923,1502.94925,811.83895,523.408,856.8895
GALAXY_SOUNDS_BLACK_HOLES,GALAXY_SOUNDS,3,0,2000,11365.8655,11338.0,11444.5,11522.0,11365.891187,11365.875284,14.393,99.657,11107.8778,10841.5297,11365.8655,,0.0,257.9877,,524.3358
GALAXY_SOUNDS_BLACK_HOLES,GALAXY_SOUNDS,3,1,2000,10920.18775,10917.75,11525.0,10803.0,10920.225559,10920.200885,13.8095,99.4195,11107.8778,10866.40375,11365.8655,11365.8655,-445.67775,-187.69005,-445.67775,53.784
GALAXY_SOUNDS_BLACK_HOLES,GALAXY_SOUNDS,3,2,2000,10829.6435,10798.0,10797.0,11248.5,10829.645811,10829.636951,13.785,99.106,11107.8778,10826.7947,11365.8655,10920.18775,-536.222,-278.2343,-90.54425,2.8488
GALAXY_SOUNDS_BLACK_HOLES,GALAXY_SOUNDS,3,3,2000,11069.80275,11123.0,11251.0,10679.0,11069.782293,11069.78577,14.0375,99.247,11107.8778,10975.68925,11365.8655,10829.6435,-296.06275,-38.07505,240.15925,94.1135
GALAXY_SOUNDS_BLACK_HOLES,GALAXY_SOUNDS,3,4,2000,11353.8895,11318.5,10662.0,12133.0,11353.90867,11353.885226,14.402,99.2195,11107.8778,11204.53595,11365.8655,11069.80275,-11.976,246.0117,284.08675,149.35355
GALAXY_SOUNDS_BLACK_HOLES,GALAXY_SOUNDS,4,0,2000,12005.817,11987.5,12137.0,12223.0,12005.821162,12005.805843,15.095,98.875,12612.2464,10966.67775,12005.817,,0.0,-606.4294,,1039.13925
GALAXY_SOUNDS_BLACK_HOLES,GALAXY_SOUNDS,4,1,2000,12492.39875,12440.0,12232.5,12783.5,12492.425199,12492.410414,15.7275,99.189,12612.2464,11020.81745,12005.817,12005.817,486.58175,-119.84765,486.58175,1471.5813
GALAXY_SOUNDS_BLACK_HOLES,GALAXY_SOUNDS,4,2,2000,12708.152,12702.0,12783.5,12602.0,12708.148954,12708.137903,15.958,99.094,12612.2464,11104.5827,12005.817,12492.39875,702.335,95.9056,215.75325,1603.5693
GALAXY_SOUNDS_BLACK_HOLES,GALAXY_SOUNDS,4,3,2000,12457.00925,12453.0,12590.0,12532.0,12457.002047,12456.994443,15.7245,98.684,12612.2464,11152.34045,12005.817,12708.152,451.19225,-155.23715,-251.14275,1304.6688
